idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob
86,07/05/2015,0.119999885559082,-0.1399993896484375,-0.0585497161865236,2.8300018310546875,-0.0499999523162837,-0.2142143249511718,0.24695,0.0,0.0,0.0,0.0,0.0,0.1027,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
87,08/05/2015,0.1700000762939453,1.42999267578125,0.0532803209304808,0.3299980163574219,0.1999998092651362,0.0681591033935582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,11/05/2015,0.1299998760223388,-0.6099929809570312,0.0693814080238344,0.0900001525878906,0.2000000476837158,-0.0584220886230539,0.0,0.0,0.0,0.0,0.0,0.0,0.29634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,12/05/2015,0.0099999904632568,0.4199981689453125,0.0263474005699155,-0.5699996948242188,0.25,-0.116846084594723,0.0,0.0,0.0,0.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,13/05/2015,-0.1299998760223388,0.029998779296875,0.0108318332672121,-0.1399993896484375,-0.2000000476837158,0.1265830993652343,0.5719,0.0,0.0,0.0,0.0,0.0,-0.006220000000000003,0.3,0.0,0.0,0.0,0.0,0.0,0.0
91,14/05/2015,-0.0900001525878906,0.9300003051757812,-0.0289822396278385,1.0900001525878906,-0.0999999046325683,-0.0584220886230433,0.0,0.0,0.0,0.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,15/05/2015,0.0400002002716064,-0.0900039672851562,0.0456689879417422,0.7499961853027344,0.0,0.1460552215576136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,18/05/2015,-0.1900000572204589,-0.4799957275390625,0.0611845552444458,-1.1199989318847656,0.0999999046325683,-0.301849365234375,0.0,0.0,0.0,-0.1531,0.0,0.0,0.0,-0.26666666666666666,0.0,0.0,-0.2818181818181818,0.0,0.0,0.0
94,19/05/2015,-0.3300001621246338,-0.470001220703125,-0.0029275989532471,-0.55999755859375,-0.1499998569488525,0.1168441772460902,0.1645,0.0,0.0,0.0,-0.105375,0.0,0.0,0.13379629629629627,0.0,0.0,0.0,0.0,0.0,0.0
95,20/05/2015,0.25,0.160003662109375,0.0222490448951719,-0.1599998474121093,-0.25,-0.8081779479980433,0.08895,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
96,21/05/2015,-0.0699999332427978,0.2899932861328125,0.0559150185585024,0.1699981689453125,-0.0499999523162837,0.048685073852539,0.12726666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05357142857142857,0.0,0.0
97,22/05/2015,0.0199999809265136,-0.4300003051757812,-0.0219561435699464,-0.8400001525878906,-0.1000001430511479,-0.0097370147705042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,26/05/2015,-0.0799999237060546,-1.1299972534179688,0.0605990354537957,-0.7099990844726562,0.2000000476837158,-0.3894844055175817,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
