,idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
24,24,06/02/2015,0.1099998950958252,0.220001220703125,0.0,1.3300018310546875,-0.0999999046325683,-0.1363201141357422,0.215475,0.0,0.0,0.0,0.0,0.0,0.08038,0.1462121212121212,0.0,0.0,0.0,0.13636363636363635,0.0,0.0125,11.9,26.9,34.8,0,16.1,41.0,37.8,2,24.3,72.2,12.7,5,22.8,76.3,21.9,5,16.1,41.0,37.8,2,20.3,72.9,20.5,2
25,25,09/02/2015,0.2100000381469726,0.3599967956542897,0.0,1.05999755859375,-0.0499999523162837,0.2726402282714879,0.10407272727272728,0.0,0.20095,0.0,0.0,0.0,0.0,-0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,11.1,40.2,23.3,0,13.4,61.4,34.6,2,24.7,70.5,22.1,5,23.3,73.1,21.9,5,13.4,61.4,34.6,2,21.5,70.7,20.5,0
26,26,10/02/2015,0.2799999713897705,0.0200004577636789,0.0,0.029998779296875,0.0,-0.1071090698242223,-0.11744444444444443,0.0,0.04228571428571428,0.0,0.03936666666666666,0.0,0.0,-0.03555555555555555,0.0,0.01948051948051948,0.0,0.0,0.0,0.0,7.1,33.9,17.8,0,13.1,58.8,32.0,2,21.5,80.5,41.7,5,20.3,82.6,37.3,5,13.1,58.8,32.0,2,22.6,66.1,22.3,2
27,27,11/02/2015,0.0,0.1399993896484375,0.0,1.0100021362304688,-0.1000001430511479,0.0,0.03818,0.0,0.0753,0.0,0.0,0.0,0.0,0.013636363636363636,0.0,0.018181818181818174,0.0,0.0,0.0,-0.05,7.3,32.9,25.5,0,14.5,51.5,37.4,2,21.0,77.0,9.4,5,20.3,75.2,18.2,5,14.5,51.5,37.4,2,21.0,76.3,25.9,0
28,28,12/02/2015,-0.059999942779541,0.7900009155273438,0.0,0.779998779296875,0.0,0.3797473907470703,0.11361818181818183,0.0,0.0,-0.128,0.0,0.0,-0.28076666666666666,0.0189033189033189,0.0,0.0,-0.3888888888888889,0.0,0.0,-0.12222222222222223,8.1,27.2,19.6,0,15.5,47.0,31.7,2,23.2,72.1,19.8,5,21.9,70.2,20.2,5,15.5,47.0,31.7,2,20.2,81.1,27.7,2
29,29,13/02/2015,0.0299999713897705,0.9799995422363352,0.0,0.6300010681152344,0.0499999523162841,0.6913337707519531,-0.0030466666666666715,0.4939,0.4466,0.0,0.15272,0.0,0.3716,0.006666666666666667,0.13636363636363635,0.018181818181818174,0.0,0.0,0.0,0.15151515151515152,10.4,26.7,18.4,0,16.4,44.9,41.0,1,21.3,85.6,24.4,4,20.4,84.1,15.1,4,16.4,44.9,41.0,1,20.7,72.7,22.3,2
30,30,17/02/2015,-0.1800000667572021,0.170001983642571,0.1437397342681883,0.2000007629394531,-0.0499999523162841,0.3797473907470703,0.0,0.0,0.1858,-0.18728333333333333,0.0,0.0,0.47424999999999995,0.125,0.0,0.17954545454545454,0.0,0.25,0.0,0.18871527777777777,8.0,23.6,15.4,0,14.3,26.7,36.4,3,20.7,80.1,24.1,5,20.6,78.7,25.6,5,14.3,26.7,36.4,3,20.8,69.5,25.9,2
31,31,18/02/2015,-0.0099999904632568,0.3600006103515625,0.0,0.0699996948242187,0.0499999523162841,-0.0486850738525355,-0.024639999999999995,0.0,0.2233,0.0,0.0,0.0,0.3057,0.08571428571428572,0.0,0.009090909090909087,0.0,0.0,0.0,0.5,9.2,26.1,17.8,0,12.8,39.0,40.3,0,21.7,77.4,14.0,5,21.4,78.4,19.4,5,12.8,39.0,40.3,0,20.9,69.5,24.1,2
32,32,19/02/2015,-0.059999942779541,0.5,0.0,-0.4300003051757812,0.0,0.3213233947753835,0.15337,0.0,0.0,0.0,0.0,0.0,-0.2263,0.013636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,10.5,28.1,17.6,0,11.0,53.3,41.4,0,18.9,70.5,33.5,5,18.1,76.5,33.5,5,11.0,53.3,41.4,0,23.2,51.5,29.5,2
33,33,20/02/2015,-0.1499998569488521,0.8999977111816406,0.0,1.0400009155273438,0.0500001907348637,-0.3018493652343679,0.0,0.0,0.5574,0.15073333333333333,0.0,0.0,0.12040000000000001,-0.15,0.0,0.26666666666666666,0.30952380952380953,0.0,0.0,0.0,11.2,26.3,31.9,0,11.2,49.6,36.0,0,13.6,75.9,24.8,5,14.0,83.3,29.5,5,11.2,49.6,36.0,0,21.5,61.6,22.3,0
