idx,headline,date,snippet,source
29,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,"The largest producers in Chile — Albemarle and SQM — have pledged to expand supply while a host of new mines are being developed, spanning Canada to Australia.",ft
30,Tesla in stand-off over lithium supply for factory,16/12/2015,"Analysts say Albemarle of Baton Rouge, FMC Lithium of Philadelphia and SQM of Chile, the big producers of lithium, have not been willing to supply at the prices Tesla has demanded.",ft
31,Companies / Sectors / People,23/05/2019,"12 ..9 ,20 ,13 Samsung SQM.......... .",ft
32,Betting on batteries,30/11/2018,"These investors range from heavyweights such as Albermarle Corp of the US, Sociedad Química y Minera (SQM) from Chile to China’s Tianqi Lithium as well as a plethora of junior miners and new entrants in Western Australia.",ft
33,US jobless figures expected to fall further as Fed points to ‘generally good’ economic conditions,02/12/2019,"SQM Research, a consultancy, forecasts prices could surge by up to 14-15 per cent in 2020, although it warns they would be liable for a correction due to their reliance on",ft
34,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"In 2017, Rio was said to have looked at acquiring a stake in Chile’s SQM, the world’s second-largest producer, but China’s Tianqi Lithium ended up buying a stake in the company.",ft
35,The day in the markets What you need to know,23/08/2019,Lithium miner Albemarle and technology partner Livent were dragged down after Chilean mining company SQM announced that earnings had plummeted by nearly half due to a slump in prices for the battery metal. Harry Dempsey,ft
36,Companies / Sectors / People,03/05/2019,"Chevron.........................................................14Kellogg....................................................14,20 SQM.................................................................10 Wesfarmers.................................................10 Chai,Nelson...............................................10 Thain,John.................................................10Cinnober.......................................................19KidmanResources..................................10 Saft.....................................................................2 Sectors Cil,José.........................................................19Uhl,Jessica.................................................10",ft
37,Lex.,03/05/2019,"Its partner, SQM of Chile, is one of the world’s leading lithium producers. Tesla has a deal to buy the output for its batteries.",ft
38,Australia housing fall raises recession fear,11/01/2019,"Developers are increasingly offering incentives to tempt buyers, amid weakening sales that have caused the volume of property listings to jump by a quarter in Melbourne and 16.5 per cent in Sydney over the past year, according to data provider SQM Research.",ft
39,Niche bets on Burgundy wine and cannabis pay off,29/12/2018,That has hit share prices of the largest producers with Chile’s lithium giant SQM down 31 per cent this year and cobalt producer China Molybdenum off by 40 per cent. Henry Sanderson,ft
40,Nissan scraps $1bn sale of battery unit to Chinese buyout group,03/07/2018,"Since then the group, led by deal-maker Sonny Wu, has appeared in a number of high-profile auctions for overseas assets. In the second half of last year it entered the race for a stake in SQM, the Chilean lithium producer, but was beaten by Tianqi, the Chinese battery maker.",ft
41,Metals are the new black gold as race to control battery resources turns geopolitical,23/05/2018,"Last week a Chinese company, Tianqi Lithium, snapped up a significant stake in Chile’s largest lithium producer, SQM, despite opposition from some in the South American country who say the deal is handing China a monopoly over lithium supply.",ft
42,Carmakers race to secure battery raw materials,26/02/2018,"This month, BMW said it was close to signing a deal for the long-term supply of battery metals lithium and cobalt, while Tesla is also in talks with Chile’s SQM, one of the world’s largest lithium producers.",ft
43,What to watch in metals during the coming year,22/12/2017,"One of the largest producers, Chile’s SQM, is in talks to resolve a dispute over how much lithium it can produce following the election of Sebastián Piñera as president this month.",ft
44,Chile’s Piñera aims to benefit from Latin America’s swing to right,17/10/2017,"Perhaps the former magnate’s greatest weakness are accusations of conflicts of interest. Although he has successfully deflected charges related to his overseas investments, an investigation was opened last month over whether he received illegal campaign funds in his 2009 presidential bid from the mining company, SQM.",ft
45,BlackRock bets big on lithium’s electric-car future,16/09/2017,"Lithium production is currently dominated by four large players, Chile’s SQM, FMC, Albemarle and Tianqi Lithium. But a host of smaller companies are racing to bring supply to the market and get their material approved for use in batteries.",ft
46,Supply challenge energises lithium trade,06/01/2017,"The market is dominated by four producers: Sociedad Química y Minera de Chile (SQM), Albemarle, FMC and China’s Tianqi Lithium. On top of that, at least 28 listed companies in Australia and Canada are developing lithium projects. Rio Tinto, the FTSE 100 miner,",ft
47,Lithium sector powered up by electric cars,27/07/2016,"That could come from other raw lithium producers such as Chile’s SQM or Orocobre, according to Robert Baylis, an analyst at consultancy Roskill.",ft
48,Battery power,06/03/2017,"purchase last year of a 2.1 per cent stake in Chile’s SQM, the world’s largest lithium producer, by Tianqi Lithium.",ft
