,headline,date,snippet,source
10,China M&A picks up – for now,03/08/2018,"yMinera de Chile, the world's second-largest lithium producer.Other to finance itsUS$4.066bn purchase of a 23.77% stake in Sociedad Quimica",reuters
11,PRESS DIGEST- Canada - May 18,18/05/2018,"producer Nutrien Ltd sold a 24 per centstake in Sociedad Quimica y Minera de Chile SA for$4.07 billion, at a healthy premium. http://bit.ly",reuters
12,Australia's Kidman Resources to supply lithium for Tesla cars,16/05/2018,Sociedad Quimica y Minera de Chile (SQM).Lithium is a key ingredient,reuters
13,EMERGING MARKETS-Mexico peso down on NAFTA jitters; Chilean equities sink,26/02/2018,"Quimica y Minera de Chile SA (SQM), which has attracted investor interestrenegotiations,"" he said. Chile's blue-chip IPSA index led losses among",reuters
14,"EMERGING MARKETS-Chilean equities fall on lithium price worries, forestry",26/02/2018,"in the country's lithium and forestry sectors. Shares in Sociedad Quimica y Minera de Chile SA (SQM), which has attracted investor interest due",reuters
15,Chile lithium miner SQM says legal dispute could linger through 2018,23/11/2017,") - Chilean lithium and fertilizerproducer Sociedad Quimica Y Minera (SQM of the company's lease in the Salar deAtacama, home to some of the world's",reuters
16,BRIEF-Agrium and PotashCorp receive regulatory approval in China,07/11/2017,"PotashCorp'sholdings in Arab Potash Co, Sociedad Quimica Y Minera De Chilein 18 mnths from closingSource text for Eikon:Further company coverage:",reuters
17,BRIEF-ARENA MINERALS EXERCISES ATACAMA OPTION AGREEMENT WITH SOCIEDAD QUIMICA,01/11/2017,"atacama option agreementwithsociedad quimica y minera de chile on two projects* japan oil gas and mineral national corporation, teck chileltd",reuters
18,BRIEF-Potashcorp reports Q3 earnings per share $0.06,26/10/2017,"quimica y minera de chile,sinofert was about $6.6 billion at oct 25 of co' investments in arab potashco, israel chemicals, sociedad",reuters
19,PRESS DIGEST- Canada- Oct 23,23/10/2017,", Israel Chemicals Ltd and Sociedad Quimica yMinera de Chile SA within",reuters
20,"Talks between SQM, Chile authorities end with no deal",16/10/2017,dispute between Chilean authorities and Sociedad Quimica Y Minera (SQM on Monday. Chile's state-run development agency Corfo has alleged,reuters
21,"Chile left-wing candidates could form alliance, threatening market rally",26/09/2017,", respectively. Lithium miner Sociedad Quimica y Minera de Chile SA has risen 77 Central de Chile. ""A Pinera victory depends on division within",reuters
22,Potash Corp hires banks to explore sale of SQM stake: La Tercera,23/09/2017,percent stake in Chile's Sociedad Quimica Y Minera (SQM)  la Jara and Caroline Stauffer),reuters
23,Potash Corp hires banks to explore sale of SQM stake - La Tercera,23/09/2017,"32 percent stake in Chile'sSociedad Quimica Y Minera (SQM), Chilean by Antonio de la Jara and Caroline Stauffer)",reuters
24,BRIEF-SQM reports Q2 net income of $0.38 per ADR,23/08/2017,Aug 23 (Reuters) - Sociedad Quimica y Minera de Chile S.A.* Q2 net income of $0.38 per ADR* Sociedad Química y Minera de Chile S.A,reuters
25,"GLOBAL MARKETS-North Korea nerves push stocks down for third day, lift gold",10/08/2017,"Sociedad Quimica y Minera de Chile, one of the world’slargest producer",reuters
26,BRIEF-PotashCorp Q2 earnings per share $0.24,27/07/2017,"Chemicals Ltd, Sociedad Quimica Y Minera De Chile S.Acontributed $51",reuters
27,Exclusive: China's GSR eyes substantial stake in $9 billion Chilean lithium miner SQM - sources,05/07/2017,"holding in Chile's Sociedad Quimica Y Minera (SQM), one of the world's 'lithium triangle' in Chile and Argentina, said in May it was planning",reuters
28,BRIEF-SQM qtrly earnings per ADR $0.39,17/05/2017,May 17 (Reuters) - Sociedad Quimica Y Minera De Chile Sa:* Q1 2017,reuters
29,Chile's SQM paying $30 mln to resolve U.S. corruption cases,13/01/2017,company Sociedad Quimica y Minera de Chile SA (SQM) has agreed to pay,reuters
30,BRIEF-SQM Q3 reporting net income of $0.21 per ADR,23/11/2016,Nov 23 (Reuters) - Sociedad Quimica Y Minera De Chile Sa* SQM,reuters
31,BRIEF-Sociedad Quimica Y Minera De Chile SA reports Q2 net income $0.32 per ADR,24/08/2016,Aug 24 (Reuters) - Sociedad Quimica Y Minera De Chile SA* SQM,reuters
32,BRIEF-SQM says qtrly EPS $0.22 per ADR,18/05/2016,May 18 (Reuters) - Sociedad Quimica Y Minera De Chile Sa* Says qtrly,reuters
33,"What to Watch in the Day Ahead - Tuesday, Mar. 3",02/03/2015,that the bank operates in. Sociedad Quimica y Minera de Chile,reuters
