name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-23.633059091030326, -70.25938437759316",2019-06-24,18,13,15.4,18,13,15.4,8.5,63.8,0,0,0,,,,,22.3,232,1016.8,57.5,9.7,187.2,15.4,7,,2019-06-24T07:23:07,2019-06-24T18:03:51,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-06-25,16,12,14,16,12,14,9.8,76.1,0,0,0,,,,,22.3,195.6,1018,43.1,10.5,172.6,14.1,6,,2019-06-25T07:23:17,2019-06-25T18:04:07,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-06-26,15,11.8,13.2,15,11.8,13.2,9.5,78.3,0,0,0,,,,,22.3,173,1015.4,70,9.7,194.6,16,7,,2019-06-26T07:23:26,2019-06-26T18:04:23,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-06-27,15,12,13.6,15,12,13.6,9.1,74.2,0,0,0,,,,,18.4,231.3,1013.5,93.1,10,192.5,15.9,7,,2019-06-27T07:23:34,2019-06-27T18:04:41,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-06-28,15.1,11.2,13.4,15.1,11.2,13.4,8.1,70.6,0,0,0,,,,,16.6,203.5,1015.3,58.3,9.7,191.9,15.9,7,,2019-06-28T07:23:41,2019-06-28T18:04:59,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-06-29,16,11,13.5,16,11,13.5,9.6,77.5,0,0,0,,,,,35.3,184.4,1016.8,43,9.9,197.5,16.4,7,,2019-06-29T07:23:47,2019-06-29T18:05:18,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,remote,SCFA"
"-23.633059091030326, -70.25938437759316",2019-06-30,15,13,13.9,15,13,13.9,10.1,78.4,0,0,0,,,,,24.1,200.9,,88.6,9.9,174.9,14.4,7,,2019-06-30T07:23:52,2019-06-30T18:05:37,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-01,14.1,12.9,13.4,14.1,12.9,13.4,9.9,79.4,0,0,0,,,,,22.3,197.8,1016.8,78.3,10,174,14.6,6,,2019-07-01T07:23:56,2019-07-01T18:05:57,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-02,15.1,12.9,13.4,15.1,12.9,13.4,10.2,81.5,0,0,0,,,,,20.5,201,1017.2,77.3,9.5,175.1,14.6,6,,2019-07-02T07:23:58,2019-07-02T18:06:18,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,remote,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-03,15,13,13.8,15,13,13.8,8.7,71.6,0,0,0,,,,,18.4,191.7,1014.5,84.7,10.8,192.7,16.1,7,,2019-07-03T07:24:00,2019-07-03T18:06:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-04,16,12.8,13.8,16,12.8,13.8,7.9,67.6,0,0,0,,,,,18.4,203.6,1014.5,73.5,10.9,172.9,14.4,6,,2019-07-04T07:24:00,2019-07-04T18:07:00,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-05,17,13,14,17,13,14,8.6,70.1,0,0,0,,,,,16.6,221.8,1015.1,82.1,10.1,160.2,13.4,5,,2019-07-05T07:24:00,2019-07-05T18:07:22,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-06,16,12,13.7,16,12,13.7,9,73.2,0,0,0,,,,,22.3,161.7,1016.5,44.4,10.2,168.8,14,6,,2019-07-06T07:23:58,2019-07-06T18:07:45,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-07,15.2,12.9,14.1,15.2,12.9,14.1,9.7,75.2,0,0,0,,,,,22.3,193.5,1016.4,67.5,10,193.9,16.2,7,,2019-07-07T07:23:55,2019-07-07T18:08:08,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-08,16,13,14.5,16,13,14.5,9.4,71.9,0,0,0,,,,,24.1,179.6,1017.7,62.2,10.7,198.7,16.4,7,,2019-07-08T07:23:51,2019-07-08T18:08:31,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
"-23.633059091030326, -70.25938437759316",2019-07-09,15.9,13.8,14.3,15.9,13.8,14.3,9.3,72.3,0,0,0,,,,,24.1,207,1017.6,88.5,10.4,191.4,15.8,7,,2019-07-09T07:23:45,2019-07-09T18:08:55,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"85442099999,SCFA"
