name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jujuy argentina,2015-09-15,35,7,21.5,32.3,6.2,20.7,2.8,37,0,0,0,,,,42.5,22.6,198.5,,11.5,10.4,312.1,27,10,,2015-09-15T07:18:18,2015-09-15T19:14:56,0.02,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-16,34.5,11,23.3,32.1,11,22.6,4.6,32.3,0,0,0,,,,37.1,22.6,206.4,,16.1,10.5,314,27.2,10,,2015-09-16T07:17:15,2015-09-16T19:15:17,0.05,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-17,26.1,3.9,16.8,26.1,0.1,16,4.4,45.2,0,0,0,,,,,22.3,153.6,,34.7,11,312.9,27,10,,2015-09-17T07:16:12,2015-09-17T19:15:37,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-09-18,25,10.5,17.4,25,10.5,17.4,6.6,53.8,0,0,0,,,,27.7,24.1,192,,13,10,300.7,26.1,10,,2015-09-18T07:15:09,2015-09-18T19:15:57,0.11,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-09-19,26.1,10,18.7,26.1,10,18.7,9.2,57.3,0,0,0,,,,,21,177.6,,20.8,9.7,297.2,25.8,10,,2015-09-19T07:14:06,2015-09-19T19:16:18,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-09-20,27.9,14.6,21.1,27.6,14.6,21.1,12.6,59.9,0,0,0,,,,33.5,15.8,213.5,,29.8,10,312.8,26.9,10,,2015-09-20T07:13:03,2015-09-20T19:16:38,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-21,33,12,23.6,32.3,12,23.4,13.8,58.1,0,0,0,,,,,23.1,224.5,,0.9,9,321.4,27.7,10,,2015-09-21T07:12:00,2015-09-21T19:16:59,0.26,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-22,26,18.8,21.9,26,18.8,21.9,16.6,72.7,0.2,100,8.33,rain,,,,24.1,152.3,,67.4,9.3,309.6,26.8,10,,2015-09-22T07:10:57,2015-09-22T19:17:19,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-23,19,13.1,15.9,19,13.1,15.9,14,88.9,0.1,100,4.17,rain,,,,24.1,135.4,,89.4,6.9,320.5,27.7,10,,2015-09-23T07:09:54,2015-09-23T19:17:40,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-09-24,21,4.2,16.1,21,0.5,15.9,10.8,72.4,1.6,100,29.17,rain,,,,22.3,193.7,,80.7,10.4,332.1,28.7,10,,2015-09-24T07:08:51,2015-09-24T19:18:01,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"87047099999,SASJ,SASA,87046099999,remote"
