headline,date,stock
China BAK Battery +30% Premarket @$3.00 Following Announcement of Purchase Contract with Sysgration,2016-03-16 00:00:00,CBAK
China BAK Announces Purchase Contract with Sysgration,2016-03-16 00:00:00,CBAK
"Chmn Li Buys 3,000,000 Shares of China BAK Battery @$2.40/Share -Form 4",2016-03-08 00:00:00,CBAK
Price Declines in Energy Storage to Facilitate Global Growth -DigiTimes,2015-11-26 00:00:00,CBAK
5 NASDAQ Technology Stocks With The Highest ROA,2015-07-08 00:00:00,CBAK
5 NASDAQ Technology Stocks With The Highest Profit Margin,2015-06-15 00:00:00,CBAK
"China BAK Battery, Inc. Reports Q3 EPS of $(0.78)",2014-08-19 00:00:00,CBAK
UPDATE: China BAK Shares Rise 16% Premarket Following Announcement of Agreement With Dalian Institute,2014-07-28 00:00:00,CBAK
Seeking Alpha Article Says Best Case Scenario Puts China Bak Battery's New Book Value at Around $0.10/Share,2014-07-22 00:00:00,CBAK
China Battery Spikes Higher,2014-07-14 00:00:00,CBAK
Morning Market Losers,2014-07-07 00:00:00,CBAK
"Stocks to Watch for October 14, 2013",2013-10-14 00:00:00,CBAK
Morning Market Movers,2013-10-14 00:00:00,CBAK
ChinaBak Soars 65% on False Rumor,2013-06-06 00:00:00,CBAK
Rumor of China Bak Battery Deal with Kandi Denied by Company's Investor Relations Department,2013-06-06 00:00:00,CBAK
China Bak Battery Spikes Higher on Report they Make Battery for Kandi Car,2013-06-05 00:00:00,CBAK
Stocks Hitting 52-Week Lows,2013-04-30 00:00:00,CBAK
Danny Pan Appointed CFO of China BAK,2013-01-08 00:00:00,CBAK
"China BAK Battery, Inc. Reports Q4 EPS of $(0.33), Down 65% YOY; Revenue of $55.10M, Up 9% YOY",2012-12-20 00:00:00,CBAK
China BAK Battery Regains NASDAQ Listing Compliance for Independent Director Requirements,2012-11-29 00:00:00,CBAK
Chinese Stocks Perk Up: Be Alert For More 80% Gainers,2012-11-26 00:00:00,CBAK
China BAK Battery Regains Compliance with NASDAQ Minimum Bid Price Requirement,2012-11-15 00:00:00,CBAK
China BAK Announces Appointment of New Independent Director,2012-09-10 00:00:00,CBAK
"Benzinga's Microcap Movers for Thursday August 23, 2012",2012-08-23 00:00:00,CBAK
"Financial Breakfast: Morning News Summary for July 25, 2012",2012-07-25 00:00:00,CBAK
China BAK Enters into Strategic Cooperation with FAWER,2012-07-25 00:00:00,CBAK
"Financial Breakfast: Morning News Summary for July 18, 2012",2012-07-18 00:00:00,CBAK
China BAK Announces New Contract to Supply Cylindrical Battery Cells to AC Propulsion,2012-07-18 00:00:00,CBAK
From EArlier: China BAK to Supply High-Power Batteries to Brilliance Auto Group,2012-06-14 00:00:00,CBAK
China BAK Regains Compliance with NASDAQ Minimum Bid Price Requirement,2012-04-11 00:00:00,CBAK
China BAK Announces Additional Contract to Supply High-Power Batteries to Chery Automobile,2012-04-09 00:00:00,CBAK
China BAK Receives $1.9 Million Government Subsidy for its Battery Module Project; Updates Progress on High-Power Battery Orders,2012-04-03 00:00:00,CBAK
China BAK's High-Power Batteries to Fuel Korean Electric Motors,2012-03-29 00:00:00,CBAK
China BAK Achieves Progress in OEM Market,2012-03-26 00:00:00,CBAK
China BAK Receives a New Contract to Supply High-Power Batteries to Chery Automobile,2012-02-14 00:00:00,CBAK
"Financial Breakfast: Morning News Summary for December 7, 2011",2011-12-07 00:00:00,CBAK
China BAK Reports Q4 EPS $(0.15); Revenues $61.58M vs $56.11M Est,2011-12-07 00:00:00,CBAK
China BAK Receives NASDAQ Noncompliance Notice,2011-10-27 00:00:00,CBAK
UPDATE: China Bak Sees Unit Bak Tianjin Accounts for 15% FY2012 Rev; in Talks for Financing to Raise Up to $50M,2011-09-21 00:00:00,CBAK
China BAK Provides Business Outlook for Fiscal Year 2012,2011-09-21 00:00:00,CBAK
A Peek Into The Market Before The Trading Starts,2011-09-01 00:00:00,CBAK
China BAK Enters into Strategic Cooperation with HAITEC,2011-09-01 00:00:00,CBAK
China Bak Battery Reports Q3 EPS $(0.12); Revenues $47.1M vs $56.1M Est,2011-08-02 00:00:00,CBAK
China Bak Battery Spiking Higher on Heavy Volume,2011-07-22 00:00:00,CBAK
China Bak Battery Spiking Higher on Heavy Volume,2011-07-18 00:00:00,CBAK
China BAK Successfully Passes Samsung Factory Audit,2011-06-30 00:00:00,CBAK
Morning Market Movers,2011-06-09 00:00:00,CBAK
China BAK Battery Seeing A Surge In Customer Demand For Its E-bike Battery Business Due To The Recent Government Suspension Of Lead-acid Battery Manufacturing In China,2011-06-09 00:00:00,CBAK
Hearing China's Foton Motor Co. To Use China Bak Lithium-ion Batteries (CBAK),2011-05-09 00:00:00,CBAK
"Top Electronic Stock Picks to buy on 5/6/11- NED, PTIX, PWER, MOLXA, AMSC, WGA, JBL, TO, BWC, MOLX, TEL, SANM, UQM",2011-05-06 00:00:00,CBAK
"Benzinga's Top Pre-Market NASDAQ Gainers (TMRK, CBAK, SVA, RVBD)",2011-01-28 00:00:00,CBAK
Options Brief: China BAK Battery (CBAK),2010-12-16 00:00:00,CBAK
Advanced Battery Tumbles on Stock Sale,2010-11-30 00:00:00,CBAK
"Benzinga's Top Pre-Market NASDAQ Losers (MCOX, CBAK, STX, ASML)",2010-11-30 00:00:00,CBAK
China BAK Appoints Marcus Cui as Interim CFO,2010-11-30 00:00:00,CBAK
China BAK Reports Fourth Quarter EPS of $(0.08),2010-11-30 00:00:00,CBAK
"Stocks Crossing Over 50 Day and 200 Day Moving Averages (AAN, CBAK, CCNE)",2010-11-24 00:00:00,CBAK
China BAK Awarded a New Contract,2010-09-10 00:00:00,CBAK
"Benzinga’s Top Pre-Market Losers (PLXT, AMED, ZRAN, CBAK, AINV)",2010-04-27 00:00:00,CBAK
Electric Car Stocks,2010-03-07 00:00:00,CBAK
"China BAK, Conn's Are Early Winners",2010-02-09 00:00:00,CBAK
"Benzinga’s Top Pre-Market Gainers (LXK, ANN, CMI, XOM, CITP, CBAK)",2010-02-02 00:00:00,CBAK
"Company News for December 30, 2009 - Corporate Summary",2009-12-30 00:00:00,CBAK
"Benzinga’s Top Pre- Market Losers (CBAK, JASO, JNJ, QGEN, ACAS, MPEL, EGLE)",2009-12-30 00:00:00,CBAK
China BAK Battery Inc.’s (NASDAQ: CBAK) Declines After CFO Denied Rumors,2009-12-30 00:00:00,CBAK
"Benzinga’s Pre-Market Gainers (AMKR, CBAK, STEC, APWR, XING)",2009-12-23 00:00:00,CBAK
"Benzinga’s Top Pre- Market Gainers (IAG, CBAK, JBL, XING, AMKR, JASO, INTC)",2009-12-22 00:00:00,CBAK
China BAK Battery (CBAK) Fiscal 2009 Q4 Earnings Conference Call,2009-11-24 00:00:00,CBAK
A New Smart Grid ETF (GRID),2009-11-17 00:00:00,CBAK
China BAK (CBAK) to Raise $20.6 Million in Registered Direct Offering,2009-10-22 00:00:00,CBAK
"Today’s Top Gainers (EJ,CFW,MVIS,CBAK,DSCO)",2009-09-30 00:00:00,CBAK
"New 52-Week High Stocks (VMED,JBL,ITUB,MVIS,CBAK)",2009-09-30 00:00:00,CBAK
