datetime,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions
2015-07-26,11.7,70.0,13.5,0
2015-07-27,15.4,68.3,18.4,0
2015-07-28,17.6,60.1,17.1,0
2015-07-29,18.7,61.2,13.8,0
2015-07-30,18.9,65.7,28.8,2
2015-07-31,18.9,57.4,36.0,0
2015-08-01,17.0,60.2,12.7,0
2015-08-02,18.8,60.7,16.6,0
2015-08-03,19.8,60.8,16.3,0
2015-08-04,19.4,72.5,14.3,2
2015-08-05,18.1,76.8,16.1,2
2015-08-06,20.7,63.5,34.9,2
2015-08-07,23.4,50.2,24.1,0
2015-08-08,19.1,78.5,16.8,2
2015-08-09,16.3,89.4,23.9,5
2015-08-10,12.1,75.5,23.4,2
2015-08-11,12.6,88.2,9.6,4
2015-08-12,12.4,87.6,17.4,4
2015-08-13,10.9,83.8,23.1,4
2015-08-14,10.0,87.1,21.5,4
2015-08-15,10.5,73.6,13.0,5
2015-08-16,9.6,82.2,12.7,5
2015-08-17,10.6,83.5,13.8,2
2015-08-18,11.7,63.4,22.3,0
2015-08-19,14.1,53.6,18.4,2
2015-08-20,15.9,58.3,17.4,2
2015-08-21,15.2,66.9,23.4,2
2015-08-22,19.5,55.0,29.0,0
2015-08-23,16.7,40.3,31.2,2
2015-08-24,15.6,42.2,13.5,0
2015-08-25,14.5,57.8,17.4,0
2015-08-26,18.5,45.6,19.7,0
2015-08-27,17.5,43.6,25.9,0
2015-08-28,20.1,50.5,15.6,0
2015-08-29,21.2,48.1,22.3,0
2015-08-30,22.5,43.3,21.8,0
2015-08-31,23.0,38.9,20.2,0
2015-09-01,21.0,59.9,29.9,2
2015-09-02,19.0,61.3,13.2,2
2015-09-03,17.4,57.6,17.6,2
2015-09-04,16.9,58.6,16.3,2
2015-09-05,15.9,60.8,15.3,2
2015-09-06,16.0,61.3,22.3,2
2015-09-07,20.7,46.2,30.2,2
2015-09-08,18.9,28.1,24.7,0
2015-09-09,18.9,46.4,24.1,0
2015-09-10,16.3,59.2,28.8,2
2015-09-11,11.3,46.5,24.9,2
2015-09-12,11.3,52.9,11.2,0
2015-09-13,14.4,42.7,17.9,0
2015-09-14,16.4,43.5,21.5,0
2015-09-15,21.5,37.0,22.6,0
2015-09-16,23.3,32.3,22.6,0
2015-09-17,16.8,45.2,22.3,2
2015-09-18,17.4,53.8,24.1,0
2015-09-19,18.7,57.3,21.0,2
2015-09-20,21.1,59.9,15.8,2
2015-09-21,23.6,58.1,23.1,0
2015-09-22,21.9,72.7,24.1,5
2015-09-23,15.9,88.9,24.1,5
2015-09-24,16.1,72.4,22.3,5
2015-09-25,14.7,79.4,32.4,5
2015-09-26,14.7,75.3,16.3,5
2015-09-27,17.7,60.3,22.3,2
2015-09-28,19.7,56.5,16.0,0
2015-09-29,22.3,52.6,25.4,2
2015-09-30,18.4,67.3,31.2,2
2015-10-01,20.6,63.0,18.7,0
2015-10-02,20.1,59.3,38.4,2
2015-10-03,14.2,72.6,20.0,1
2015-10-04,14.8,70.7,17.9,2
2015-10-05,17.8,61.4,20.2,0
2015-10-06,22.0,49.7,19.4,0
2015-10-07,22.7,50.7,20.8,2
2015-10-08,14.7,81.5,22.1,4
2015-10-09,13.9,64.7,22.3,4
2015-10-10,11.9,59.7,21.3,4
2015-10-11,10.8,66.4,14.3,1
2015-10-12,12.2,61.3,19.2,2
2015-10-13,14.6,52.9,17.6,0
2015-10-14,20.2,39.0,42.5,0
2015-10-15,22.6,19.7,27.7,0
2015-10-16,17.4,48.7,14.5,2
2015-10-17,17.3,47.2,15.8,2
2015-10-18,17.9,51.0,17.4,2
2015-10-19,18.0,53.6,18.7,2
2015-10-20,22.7,40.9,25.2,0
2015-10-21,22.9,48.6,18.1,0
2015-10-22,23.9,47.1,24.6,2
2015-10-23,22.1,44.1,22.6,2
2015-10-24,22.8,50.9,17.1,2
2015-10-25,25.9,49.7,22.6,2
2015-10-26,22.3,63.0,22.9,2
2015-10-27,22.6,64.3,18.7,5
2015-10-28,21.3,75.9,24.6,2
2015-10-29,25.0,55.0,17.1,2
2015-10-30,19.0,78.1,28.9,5
2015-10-31,17.3,89.9,19.1,5
2015-11-01,17.7,88.4,15.3,4
2015-11-02,15.9,93.7,19.7,4
2015-11-03,16.3,95.1,13.8,4
2015-11-04,15.8,87.2,24.1,4
2015-11-05,17.1,74.6,16.6,4
2015-11-06,16.6,82.2,22.3,4
2015-11-07,17.8,83.0,21.8,2
2015-11-08,20.6,70.7,15.8,2
2015-11-09,23.5,63.7,15.3,2
2015-11-10,23.4,63.5,30.9,5
2015-11-11,19.1,80.1,25.2,1
2015-11-12,20.8,68.8,22.0,2
2015-11-13,22.9,57.0,20.0,2
2015-11-14,22.4,55.6,19.5,2
2015-11-15,22.9,59.6,16.6,0
2015-11-16,25.4,56.4,15.1,0
2015-11-17,25.6,61.8,20.5,2
2015-11-18,24.2,67.8,24.4,2
2015-11-19,24.0,65.8,28.9,5
2015-11-20,14.9,71.5,31.4,5
2015-11-21,17.8,62.6,15.3,0
2015-11-22,21.6,55.8,17.4,2
2015-11-23,23.5,58.3,16.6,2
2015-11-24,23.5,64.3,15.3,2
2015-11-25,25.5,64.1,15.3,2
2015-11-26,27.2,59.3,25.2,2
2015-11-27,24.5,67.7,35.5,5
2015-11-28,17.3,82.8,16.3,4
2015-11-29,17.8,71.6,17.1,4
2015-11-30,17.7,69.6,15.0,2
2015-12-01,20.5,65.7,16.6,2
2015-12-02,22.0,64.5,13.0,2
