datetime,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions
2015-07-01,11.8,76.9,22.1,2
2015-07-02,10.6,82.5,16.3,2
2015-07-03,11.0,81.8,24.2,4
2015-07-04,7.5,91.7,14.5,5
2015-07-05,7.8,83.9,18.1,2
2015-07-06,9.7,72.2,27.1,2
2015-07-07,10.4,70.3,15.8,2
2015-07-08,9.0,69.7,14.6,0
2015-07-09,11.0,64.8,18.1,0
2015-07-10,12.5,67.5,23.6,2
2015-07-11,13.0,74.9,21.9,2
2015-07-12,14.4,60.3,18.4,0
2015-07-13,19.1,29.6,39.6,2
2015-07-14,8.0,82.7,14.8,5
2015-07-15,7.8,82.0,20.5,2
2015-07-16,8.7,71.1,18.2,2
2015-07-17,8.8,73.3,12.7,0
2015-07-18,11.0,66.6,12.8,0
2015-07-19,12.8,64.8,17.9,2
2015-07-20,9.2,81.9,24.3,5
2015-07-21,6.8,76.8,13.0,2
2015-07-22,9.3,57.9,13.0,2
2015-07-23,9.0,72.1,14.4,0
2015-07-24,10.2,69.0,16.4,0
2015-07-25,10.4,67.7,17.9,0
2015-07-26,11.2,69.8,20.1,0
2015-07-27,13.5,69.5,18.4,0
2015-07-28,16.3,59.4,18.1,0
2015-07-29,16.6,65.4,20.1,2
2015-07-30,18.2,66.4,16.6,2
2015-07-31,16.7,62.1,25.9,0
2015-08-01,16.0,60.3,16.4,0
2015-08-02,16.7,62.1,16.6,0
2015-08-03,18.1,62.7,21.6,2
2015-08-04,19.0,70.9,23.4,2
2015-08-05,17.4,75.7,20.2,2
2015-08-06,20.4,60.6,25.6,2
2015-08-07,25.9,33.7,27.6,0
2015-08-08,18.8,74.5,22.0,2
2015-08-09,15.1,88.4,18.2,5
2015-08-10,11.3,78.0,29.2,2
2015-08-11,11.8,84.0,11.1,4
2015-08-12,11.1,87.2,12.9,4
2015-08-13,9.9,82.4,18.1,4
2015-08-14,9.1,83.9,14.4,4
2015-08-15,9.9,69.2,13.0,5
2015-08-16,8.4,80.5,12.7,5
2015-08-17,9.9,77.4,14.5,2
2015-08-18,11.1,58.2,22.3,0
2015-08-19,12.4,52.6,22.1,2
2015-08-20,13.2,61.4,18.2,2
2015-08-21,14.0,67.0,16.4,2
2015-08-22,18.0,57.8,26.0,2
2015-08-23,13.7,51.0,17.1,2
2015-08-24,14.3,37.9,20.3,0
2015-08-25,13.6,57.2,18.2,0
2015-08-26,16.2,49.5,23.5,0
2015-08-27,15.8,48.8,29.5,0
2015-08-28,18.5,52.9,25.3,0
2015-08-29,19.5,48.9,23.9,0
2015-08-30,20.8,44.1,21.2,0
2015-08-31,22.1,40.2,25.2,0
2015-09-01,18.8,69.8,19.8,2
2015-09-02,18.1,67.1,23.6,2
2015-09-03,15.6,58.6,20.0,2
2015-09-04,13.8,70.0,9.2,2
2015-09-05,15.2,61.7,23.7,2
2015-09-06,14.2,65.2,27.6,2
2015-09-07,18.5,47.0,24.3,0
2015-09-08,18.0,29.2,27.7,0
2015-09-09,17.0,49.4,29.2,0
2015-09-10,15.0,60.8,24.1,0
2015-09-11,10.2,48.3,18.6,2
2015-09-12,10.6,51.2,18.0,0
2015-09-13,12.9,43.7,16.6,0
2015-09-14,14.4,46.1,22.2,0
2015-09-15,19.5,38.1,27.3,0
2015-09-16,20.3,35.9,24.1,0
2015-09-17,17.2,47.4,23.9,2
2015-09-18,16.6,54.9,35.3,0
2015-09-19,18.2,56.8,20.4,2
2015-09-20,19.5,62.2,20.2,0
2015-09-21,22.0,61.2,25.6,0
2015-09-22,20.9,71.7,24.1,5
2015-09-23,18.1,77.7,28.9,5
2015-09-24,15.8,66.4,23.8,5
2015-09-25,14.2,71.9,32.4,5
2015-09-26,14.4,67.0,32.7,2
2015-09-27,16.6,57.9,25.6,2
2015-09-28,17.9,55.9,23.8,0
2015-09-29,19.9,54.9,21.8,2
2015-09-30,17.5,69.7,20.3,2
2015-10-01,18.9,64.4,21.9,0
2015-10-02,17.4,66.5,33.5,2
2015-10-03,12.5,79.0,16.4,2
2015-10-04,14.1,71.2,23.7,2
2015-10-05,17.5,59.4,31.2,0
2015-10-06,20.8,50.2,29.0,0
2015-10-07,21.2,56.0,23.7,2
2015-10-08,13.3,82.7,20.6,4
2015-10-09,10.9,83.5,11.6,4
2015-10-10,8.5,81.5,15.0,4
2015-10-11,7.9,77.2,12.6,2
2015-10-12,10.2,66.9,14.8,1
2015-10-13,14.0,56.9,19.1,0
2015-10-14,20.3,39.8,42.5,0
2015-10-15,22.6,16.0,29.3,0
2015-10-16,15.5,49.9,16.3,2
2015-10-17,15.3,49.7,13.0,2
2015-10-18,16.9,47.8,18.1,2
2015-10-19,17.7,52.1,20.1,2
2015-10-20,20.7,40.5,33.1,0
2015-10-21,20.3,52.6,23.8,0
2015-10-22,21.3,50.2,32.8,2
2015-10-23,20.3,45.3,16.6,2
2015-10-24,20.5,56.0,16.4,2
2015-10-25,22.8,55.0,31.0,2
2015-10-26,21.0,66.7,31.1,2
2015-10-27,21.1,66.9,21.9,5
2015-10-28,20.3,78.2,27.6,5
2015-10-29,23.8,56.0,23.8,5
2015-10-30,18.0,77.9,20.5,5
2015-10-31,16.7,84.3,21.2,4
2015-11-01,16.8,85.8,21.9,4
2015-11-02,15.2,90.1,12.8,4
2015-11-03,15.9,89.7,34.3,4
2015-11-04,14.5,89.0,26.6,4
2015-11-05,15.2,78.7,18.1,4
2015-11-06,15.0,83.8,22.3,4
2015-11-07,17.4,75.5,22.3,2
2015-11-08,19.3,68.2,22.1,2
2015-11-09,21.7,62.4,18.2,0
2015-11-10,21.0,70.4,29.5,5
2015-11-11,18.3,83.5,33.1,4
2015-11-12,22.0,63.8,23.6,2
2015-11-13,21.5,59.5,20.5,2
2015-11-14,20.9,55.6,18.4,2
2015-11-15,21.2,59.6,18.1,2
2015-11-16,23.9,58.0,22.7,2
2015-11-17,24.6,59.3,22.0,2
2015-11-18,22.5,68.9,22.2,2
2015-11-19,22.2,64.2,43.6,5
2015-11-20,13.2,71.0,18.9,1
2015-11-21,16.5,60.3,21.9,0
2015-11-22,20.1,55.2,25.4,0
2015-11-23,21.7,57.7,20.3,2
2015-11-24,22.5,62.0,18.2,2
2015-11-25,23.7,65.0,18.2,2
2015-11-26,26.0,59.7,34.2,2
2015-11-27,23.0,71.0,42.0,5
2015-11-28,15.3,85.8,14.8,4
2015-11-29,16.2,75.4,22.1,4
2015-11-30,15.9,75.0,20.2,2
2015-12-01,19.4,64.7,21.3,2
2015-12-02,20.6,66.3,16.3,2
2015-12-03,23.1,60.3,27.7,2
2015-12-04,23.9,65.6,29.0,5
2015-12-05,17.7,91.9,26.3,4
2015-12-06,19.7,70.3,23.8,5
2015-12-07,17.9,76.7,22.1,2
2015-12-08,20.8,70.9,17.9,2
2015-12-09,20.9,73.2,28.3,2
2015-12-10,20.8,72.1,31.7,2
2015-12-11,22.2,61.0,32.8,0
2015-12-12,24.7,54.1,21.9,0
2015-12-13,23.9,67.8,30.2,5
2015-12-14,25.4,65.3,31.1,2
2015-12-15,23.3,61.5,27.0,5
2015-12-16,23.1,64.9,25.5,2
2015-12-17,26.2,61.1,23.9,5
2015-12-18,21.6,76.8,35.2,5
2015-12-19,14.8,83.6,14.8,4
2015-12-20,18.9,70.9,25.8,2
2015-12-21,21.2,69.0,22.1,2
2015-12-22,23.7,64.2,25.4,2
2015-12-23,24.3,65.7,18.0,5
2015-12-24,20.5,80.1,16.3,5
2015-12-25,21.5,74.6,11.2,2
2015-12-26,22.5,71.6,28.1,2
2015-12-27,25.1,65.5,27.7,5
2015-12-28,21.2,82.8,16.4,5
2015-12-29,23.7,71.3,28.9,5
2015-12-30,25.6,64.1,18.2,5
2015-12-31,22.6,72.6,27.7,5
2016-01-01,21.2,81.1,14.8,4
2016-01-02,23.1,74.7,16.6,5
2016-01-03,23.4,69.5,18.1,5
2016-01-04,24.1,67.5,23.6,2
2016-01-05,22.7,80.9,32.9,5
2016-01-06,20.9,82.8,20.2,4
2016-01-07,21.8,83.2,16.4,5
2016-01-08,22.8,81.6,31.0,5
2016-01-09,23.1,73.3,20.5,5
2016-01-10,22.6,75.6,16.4,5
2016-01-11,23.1,82.1,21.9,5
2016-01-12,24.8,71.3,16.6,5
2016-01-13,20.2,86.9,24.1,5
2016-01-14,20.0,75.6,21.2,5
2016-01-15,22.5,72.3,23.7,5
2016-01-16,22.6,81.2,21.8,5
2016-01-17,23.7,76.7,25.7,5
2016-01-18,23.0,78.5,23.4,5
2016-01-19,23.2,71.6,22.0,2
2016-01-20,23.4,67.2,22.7,0
2016-01-21,23.0,66.1,33.5,0
2016-01-22,23.1,65.9,14.9,0
2016-01-23,24.1,64.5,20.5,2
2016-01-24,24.3,63.5,22.2,0
2016-01-25,22.6,68.9,25.9,5
2016-01-26,18.4,89.5,18.6,4
2016-01-27,18.8,78.7,22.0,2
2016-01-28,21.5,76.9,18.0,2
2016-01-29,23.6,74.1,17.9,5
2016-01-30,20.7,82.8,25.9,5
2016-01-31,18.8,83.8,14.8,4
2016-02-01,17.6,87.0,13.0,4
2016-02-02,18.1,89.3,13.0,4
2016-02-03,20.5,78.2,23.0,2
2016-02-04,21.9,75.0,23.6,2
2016-02-05,22.3,76.0,16.6,5
2016-02-06,22.5,78.3,18.4,5
2016-02-07,22.6,85.1,23.0,5
2016-02-08,24.8,78.8,14.8,5
2016-02-09,21.2,84.8,15.5,5
2016-02-10,23.5,79.8,16.6,2
2016-02-11,24.6,77.0,12.8,2
2016-02-12,24.9,73.7,22.3,2
2016-02-13,25.1,73.9,28.7,5
2016-02-14,23.1,82.7,18.4,4
2016-02-15,24.5,79.1,22.3,2
2016-02-16,24.1,76.5,28.1,2
2016-02-17,26.3,76.1,23.1,5
2016-02-18,25.7,77.2,27.7,5
2016-02-19,25.0,78.6,28.0,5
2016-02-20,20.7,88.5,22.3,4
2016-02-21,21.9,84.1,16.2,2
2016-02-22,23.3,81.1,23.4,2
2016-02-23,23.4,82.3,23.6,5
2016-02-24,22.6,80.3,18.7,5
2016-02-25,23.8,73.6,18.4,2
2016-02-26,24.7,76.5,14.8,5
2016-02-27,20.8,85.3,29.5,5
2016-02-28,21.4,83.5,16.6,4
2016-02-29,19.1,86.1,24.8,5
2016-03-01,19.6,79.5,22.3,5
2016-03-02,17.8,87.1,24.8,5
2016-03-03,18.0,85.5,23.8,5
2016-03-04,19.2,85.4,23.4,5
2016-03-05,16.4,87.9,24.8,5
2016-03-06,15.7,87.6,24.8,5
2016-03-07,17.3,87.6,18.1,5
2016-03-08,18.7,88.0,23.7,5
2016-03-09,18.8,71.8,14.6,5
2016-03-10,18.3,76.6,16.3,5
2016-03-11,17.2,85.3,18.4,2
2016-03-12,18.7,80.4,23.6,2
2016-03-13,17.8,84.7,21.7,2
2016-03-14,18.4,80.9,23.8,2
2016-03-15,18.7,81.4,9.5,2
2016-03-16,21.5,77.8,33.0,2
2016-03-17,22.6,77.8,13.0,2
2016-03-18,21.7,82.7,129.6,5
2016-03-19,16.0,87.7,16.6,4
2016-03-20,15.5,89.3,14.4,4
2016-03-21,17.6,82.8,14.5,2
2016-03-22,19.4,78.8,18.0,1
2016-03-23,18.5,83.6,22.3,5
2016-03-24,17.0,81.8,32.9,5
2016-03-25,15.3,90.8,14.9,4
2016-03-26,14.8,86.4,14.4,4
2016-03-27,16.1,85.2,16.5,2
2016-03-28,16.6,81.3,11.4,2
2016-03-29,17.2,81.2,13.1,2
2016-03-30,18.4,82.9,160.5,2
2016-03-31,20.4,80.5,12.9,2
2016-04-01,21.6,79.1,162.8,2
2016-04-02,22.4,77.0,25.2,5
2016-04-03,22.6,84.3,21.9,5
2016-04-04,23.0,83.2,18.4,5
2016-04-05,20.5,97.5,11.0,4
2016-04-06,20.9,90.1,20.1,5
2016-04-07,20.8,86.2,16.5,2
2016-04-08,20.7,84.2,19.1,2
2016-04-09,20.4,85.3,16.1,5
2016-04-10,17.6,90.0,14.6,4
2016-04-11,15.8,87.9,16.3,4
2016-04-12,16.0,85.6,12.7,4
2016-04-13,17.4,84.4,16.6,2
2016-04-14,18.9,75.5,20.1,2
2016-04-15,19.9,80.9,18.2,2
2016-04-16,20.1,74.1,18.1,2
2016-04-17,21.6,83.0,11.2,2
2016-04-18,19.1,88.8,18.0,5
2016-04-19,15.3,89.4,14.9,1
2016-04-20,15.6,80.4,16.2,2
2016-04-21,16.1,71.8,12.8,2
2016-04-22,17.1,77.6,12.7,2
2016-04-23,18.0,74.9,16.3,2
2016-04-24,16.9,83.2,14.4,2
2016-04-25,11.0,90.5,18.5,5
2016-04-26,8.6,73.9,16.5,5
2016-04-27,8.8,71.7,16.3,2
2016-04-28,8.1,79.8,12.9,2
2016-04-29,9.7,74.5,12.8,2
2016-04-30,10.2,78.2,14.7,1
2016-05-01,9.7,82.9,11.3,2
2016-05-02,11.7,82.5,10.8,2
2016-05-03,13.0,80.1,14.6,1
2016-05-04,12.8,76.9,16.2,2
2016-05-05,14.0,79.9,12.2,2
2016-05-06,14.7,80.4,12.7,1
2016-05-07,13.9,84.0,16.2,2
2016-05-08,13.8,83.8,9.0,1
2016-05-09,13.7,84.6,12.6,2
2016-05-10,14.8,83.2,14.6,4
2016-05-11,14.1,89.6,14.5,4
2016-05-12,14.4,90.4,11.0,4
2016-05-13,14.9,88.4,16.4,4
2016-05-14,15.4,84.2,12.5,2
2016-05-15,15.3,78.3,20.4,2
2016-05-16,10.8,86.1,24.5,2
2016-05-17,10.9,83.0,18.4,4
2016-05-18,10.3,85.3,14.3,4
2016-05-19,9.8,86.6,12.8,1
2016-05-20,9.9,80.9,12.2,2
2016-05-21,9.7,81.7,14.4,2
2016-05-22,9.5,76.1,22.3,2
2016-05-23,9.0,78.9,18.1,2
2016-05-24,10.1,68.9,15.0,2
2016-05-25,12.1,73.1,14.4,2
2016-05-26,12.5,79.1,11.5,2
2016-05-27,9.9,89.0,16.4,4
2016-05-28,9.6,84.3,16.6,1
2016-05-29,8.9,86.4,9.4,1
2016-05-30,10.6,77.2,16.9,2
2016-05-31,8.9,81.0,12.8,2
2016-06-01,9.1,86.1,12.7,2
2016-06-02,10.7,82.4,16.1,5
2016-06-03,11.0,84.6,14.4,4
2016-06-04,10.6,83.6,17.8,2
2016-06-05,8.9,87.8,11.1,4
2016-06-06,7.7,86.4,9.5,5
2016-06-07,7.2,74.2,12.8,0
2016-06-08,7.7,77.7,12.9,2
2016-06-09,7.3,83.2,7.6,2
2016-06-10,8.7,85.1,11.0,2
2016-06-11,7.6,88.3,12.8,1
2016-06-12,7.2,84.2,9.4,1
2016-06-13,9.0,78.9,11.0,2
2016-06-14,9.3,78.7,16.3,2
2016-06-15,8.7,84.5,11.2,2
2016-06-16,10.8,78.7,12.5,1
2016-06-17,9.6,85.4,14.8,1
2016-06-18,9.4,82.0,9.3,2
2016-06-19,9.7,81.5,11.0,1
2016-06-20,9.8,68.5,11.0,1
2016-06-21,6.6,74.6,11.0,2
2016-06-22,7.6,65.4,16.3,0
2016-06-23,8.4,73.6,14.6,0
2016-06-24,9.2,79.3,9.4,5
2016-06-25,7.7,95.4,23.0,9
2016-06-26,7.8,81.7,16.6,5
2016-06-27,6.9,87.0,11.0,1
2016-06-28,7.0,81.0,18.0,2
2016-06-29,8.0,82.0,12.9,2
2016-06-30,9.9,75.0,17.9,0
2016-07-01,13.5,76.8,16.3,1
2016-07-02,14.3,78.8,21.9,2
2016-07-03,12.8,87.9,12.7,4
2016-07-04,9.5,89.2,14.6,4
2016-07-05,8.7,77.3,11.1,2
2016-07-06,7.7,67.6,11.1,0
2016-07-07,8.4,63.1,18.4,0
2016-07-08,9.5,68.2,11.1,2
2016-07-09,11.5,64.0,20.0,0
2016-07-10,12.2,67.9,22.0,0
2016-07-11,14.5,68.6,14.5,0
2016-07-12,13.3,77.6,21.8,2
2016-07-13,14.2,72.9,12.8,2
2016-07-14,13.8,63.4,21.8,0
2016-07-15,11.2,79.1,18.3,2
