datetime,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
2015-08-22,14.4,74.7,25.9,2
2015-08-23,14.2,77.1,20.5,2
2015-08-24,15.5,72.2,24.1,2
2015-08-25,15.0,72.6,25.9,1
2015-08-26,14.2,75.7,27.7,2
2015-08-27,15.3,75.2,27.7,2
2015-08-28,15.9,74.0,20.5,2
2015-08-29,15.8,75.4,20.5,2
2015-08-30,16.2,70.5,22.3,2
2015-08-31,16.1,70.0,20.5,2
2015-09-01,16.2,73.8,24.1,2
2015-09-02,16.3,73.4,22.3,2
2015-09-03,16.5,71.8,22.3,2
2015-09-04,16.4,70.5,22.3,2
2015-09-05,16.5,71.2,24.1,2
2015-09-06,16.1,72.8,22.3,2
2015-09-07,16.5,68.6,25.9,2
2015-09-08,15.7,75.6,29.5,2
2015-09-09,16.0,70.5,25.9,2
2015-09-10,15.8,69.7,25.9,2
2015-09-11,15.8,76.2,14.8,2
2015-09-12,15.9,76.4,20.5,2
2015-09-13,15.6,79.1,16.6,2
2015-09-14,16.8,70.2,27.7,2
2015-09-15,17.0,70.4,20.5,0
2015-09-16,16.2,70.1,27.7,2
2015-09-17,15.7,68.4,25.9,2
2015-09-18,15.9,68.6,25.9,2
2015-09-19,15.8,69.2,27.7,2
2015-09-20,16.4,70.3,22.3,2
2015-09-21,16.3,69.4,25.9,2
2015-09-22,16.1,67.1,25.9,2
2015-09-23,16.0,67.9,25.9,2
2015-09-24,16.0,72.8,40.7,2
2015-09-25,16.0,71.0,37.1,2
2015-09-26,15.7,67.5,27.7,2
2015-09-27,15.4,70.9,25.9,2
2015-09-28,16.0,67.8,22.3,2
2015-09-29,17.2,66.5,24.1,2
2015-09-30,17.5,64.3,18.4,2
2015-10-01,16.5,68.3,24.1,2
2015-10-02,16.3,74.3,24.1,2
2015-10-03,16.3,73.5,25.9,2
2015-10-04,16.1,73.4,24.1,2
2015-10-05,16.0,75.0,24.1,2
2015-10-06,16.5,75.7,31.7,2
2015-10-07,15.8,75.5,33.5,2
2015-10-08,15.1,73.1,22.3,2
2015-10-09,15.5,66.1,27.7,2
2015-10-10,15.4,70.8,31.7,2
2015-10-11,16.2,70.8,27.7,0
2015-10-12,15.8,66.9,22.3,2
2015-10-13,15.7,63.3,22.3,2
2015-10-14,15.8,63.5,37.1,2
2015-10-15,15.6,75.9,31.7,2
2015-10-16,15.5,68.3,24.1,2
2015-10-17,15.0,74.5,25.9,2
2015-10-18,16.6,73.9,31.7,2
2015-10-19,16.8,74.7,25.9,5
2015-10-20,15.9,78.7,27.7,2
2015-10-21,15.7,76.2,29.5,2
2015-10-22,16.0,73.7,27.7,2
2015-10-23,16.4,68.3,24.1,2
2015-10-24,16.8,69.7,24.1,2
2015-10-25,17.0,72.3,27.7,2
2015-10-26,17.0,72.0,24.1,2
2015-10-27,16.8,69.9,25.9,2
2015-10-28,17.0,65.1,27.7,2
2015-10-29,16.7,69.5,33.5,2
2015-10-30,16.5,74.7,27.7,2
2015-10-31,16.7,72.5,20.5,2
2015-11-01,17.0,67.1,22.3,2
2015-11-02,16.9,70.4,25.9,2
2015-11-03,17.2,64.8,25.9,2
2015-11-04,16.3,68.1,35.3,0
2015-11-05,15.9,74.5,25.9,2
2015-11-06,16.9,68.5,27.7,2
2015-11-07,17.2,67.0,29.5,2
2015-11-08,17.1,67.1,24.1,2
2015-11-09,17.2,67.6,29.5,2
2015-11-10,16.9,63.7,25.9,2
2015-11-11,16.2,74.2,35.3,2
2015-11-12,16.2,71.5,31.7,2
2015-11-13,16.5,68.5,25.9,2
2015-11-14,17.2,68.7,27.7,2
2015-11-15,17.7,73.7,22.3,2
2015-11-16,17.9,71.5,27.7,2
2015-11-17,17.7,67.1,29.5,2
2015-11-18,17.2,70.6,25.9,2
2015-11-19,17.4,68.5,27.7,2
2015-11-20,16.8,67.7,24.1,2
2015-11-21,16.7,65.0,27.7,2
2015-11-22,16.8,69.6,29.5,2
2015-11-23,16.9,70.3,25.9,2
2015-11-24,17.1,67.1,22.3,2
2015-11-25,18.0,67.5,25.9,2
2015-11-26,17.8,70.9,27.7,2
2015-11-27,17.4,72.4,27.7,2
2015-11-28,17.8,68.1,22.3,2
2015-11-29,18.3,70.0,25.9,2
2015-11-30,18.0,65.8,35.3,2
2015-12-01,17.4,67.8,24.1,2
2015-12-02,18.5,62.6,27.7,2
2015-12-03,18.1,66.8,27.7,2
2015-12-04,18.5,65.6,27.7,2
2015-12-05,18.9,65.8,24.1,2
2015-12-06,19.1,63.6,24.1,2
2015-12-07,19.1,65.2,27.7,2
2015-12-08,19.5,66.8,22.3,2
2015-12-09,20.2,67.9,25.9,2
2015-12-10,19.7,69.3,25.9,2
2015-12-11,19.4,69.3,25.9,2
2015-12-12,19.8,67.0,25.9,2
2015-12-13,20.0,64.6,31.7,2
2015-12-14,19.2,67.3,27.7,2
2015-12-15,19.5,66.6,25.9,2
2015-12-16,19.1,70.1,24.1,2
2015-12-17,19.0,72.2,31.7,2
2015-12-18,19.9,72.0,19.1,2
2015-12-19,19.7,73.4,20.9,2
2015-12-20,19.6,70.9,25.9,2
2015-12-21,18.8,66.7,27.7,2
2015-12-22,18.5,67.1,29.5,2
2015-12-23,18.3,70.5,27.7,2
2015-12-24,18.3,73.1,24.1,2
2015-12-25,18.1,73.1,27.7,2
2015-12-26,18.1,71.3,24.1,2
2015-12-27,18.4,66.9,24.1,2
2015-12-28,18.5,65.2,24.1,2
2015-12-29,18.4,67.2,25.9,2
2015-12-30,18.5,68.8,24.1,2
2015-12-31,19.1,66.6,29.5,2
2016-01-01,18.7,71.1,25.9,2
2016-01-02,19.3,69.0,24.1,2
2016-01-03,19.0,69.2,25.9,2
2016-01-04,19.4,66.7,24.1,2
2016-01-05,20.3,67.3,24.1,2
2016-01-06,20.5,68.0,22.3,5
2016-01-07,20.3,72.5,29.5,2
2016-01-08,19.9,72.5,24.7,2
2016-01-09,19.6,73.0,29.2,2
2016-01-10,19.7,69.6,29.5,2
2016-01-11,19.6,66.8,22.3,2
2016-01-12,19.6,68.5,25.9,2
2016-01-13,19.5,73.9,25.9,2
2016-01-14,20.1,69.1,25.9,2
2016-01-15,19.8,70.3,25.9,2
2016-01-16,20.4,69.4,24.7,2
2016-01-17,20.7,68.6,22.3,2
2016-01-18,20.9,68.4,22.3,2
2016-01-19,20.0,72.1,22.3,0
2016-01-20,20.4,70.2,25.9,2
2016-01-21,20.6,69.8,24.7,2
2016-01-22,20.7,69.3,25.6,2
2016-01-23,21.4,63.9,25.9,2
2016-01-24,21.0,70.0,27.7,2
2016-01-25,21.9,66.1,24.1,2
2016-01-26,21.5,64.1,25.9,0
2016-01-27,21.3,68.8,25.9,0
2016-01-28,21.0,72.0,22.3,2
2016-01-29,22.1,68.0,25.9,2
2016-01-30,21.5,67.3,25.9,2
2016-01-31,21.6,67.1,25.9,2
2016-02-01,21.6,65.3,24.1,0
2016-02-02,21.8,69.2,25.9,2
2016-02-03,22.0,66.4,22.3,2
2016-02-04,22.7,63.0,24.1,2
2016-02-05,21.8,70.7,27.7,2
2016-02-06,21.5,72.2,31.7,2
2016-02-07,21.0,70.4,27.7,2
2016-02-08,20.5,69.0,28.3,2
2016-02-09,20.7,66.1,25.9,2
2016-02-10,20.9,65.1,25.9,2
2016-02-11,20.8,68.4,24.7,2
2016-02-12,21.0,70.7,25.9,2
2016-02-13,20.8,74.0,29.2,2
2016-02-14,20.3,73.8,25.9,2
2016-02-15,20.2,71.9,25.9,2
2016-02-16,20.7,67.3,29.5,2
2016-02-17,20.3,69.6,25.6,2
2016-02-18,20.2,74.2,25.9,0
2016-02-19,19.5,79.1,29.5,2
2016-02-20,19.9,70.4,20.5,2
2016-02-21,21.8,60.8,21.1,2
2016-02-22,21.9,61.9,21.1,2
2016-02-23,22.1,66.0,22.3,0
2016-02-24,21.7,75.8,25.9,0
2016-02-25,21.1,75.6,22.3,2
2016-02-26,21.5,73.4,24.1,2
2016-02-27,21.0,77.6,25.9,2
2016-02-28,21.4,73.1,22.3,0
2016-02-29,21.1,75.3,24.1,2
2016-03-01,20.8,74.7,27.7,2
2016-03-02,20.4,70.4,24.1,2
2016-03-03,20.4,65.8,24.1,2
2016-03-04,21.1,67.1,22.3,2
2016-03-05,20.6,70.9,24.1,2
2016-03-06,20.9,66.2,20.5,0
2016-03-07,20.7,69.4,20.5,2
2016-03-08,20.2,72.0,29.5,0
2016-03-09,20.0,74.6,22.3,2
2016-03-10,20.2,73.0,22.3,0
2016-03-11,20.6,69.4,24.1,2
2016-03-12,21.0,68.1,25.9,2
2016-03-13,20.5,69.5,24.1,2
2016-03-14,20.2,74.5,22.3,2
2016-03-15,19.8,74.1,25.9,2
2016-03-16,20.0,70.4,27.7,2
2016-03-17,21.0,66.2,27.7,2
2016-03-18,20.2,74.2,25.9,2
2016-03-19,19.9,77.2,22.3,2
2016-03-20,19.9,78.1,25.9,2
2016-03-21,19.9,77.0,25.9,2
2016-03-22,19.6,78.2,24.1,2
2016-03-23,19.3,76.4,20.5,2
2016-03-24,19.2,70.1,29.5,2
2016-03-25,18.5,73.5,22.3,0
2016-03-26,19.2,68.0,18.4,0
2016-03-27,19.3,74.5,22.3,2
2016-03-28,18.6,77.3,24.1,2
2016-03-29,19.1,70.3,20.5,0
2016-03-30,19.2,76.6,24.1,0
2016-03-31,19.2,74.7,24.1,2
2016-04-01,20.2,64.8,22.3,0
2016-04-02,19.2,77.8,25.9,2
2016-04-03,18.9,77.9,25.9,2
2016-04-04,18.4,79.8,24.1,2
2016-04-05,18.5,76.6,24.1,2
2016-04-06,18.7,79.7,25.9,2
2016-04-07,18.1,80.1,27.7,2
2016-04-08,17.6,78.7,31.7,2
2016-04-09,17.0,73.9,27.7,2
2016-04-10,16.7,71.7,20.5,2
