idx,headline,date,source
160,Electric cars won't solve our pollution problems – Britain needs a total transport rethink | George Monbiot,23/09/2020,The Guardian
161,How will the pandemic affect the sprint away from fossil fuels? | Daniel Yergin,08/10/2020,The Guardian
162,How the race for cobalt risks turning it from miracle metal to deadly chemical,18/12/2019,The Guardian
163,UK firm announces plans for first 'liquid to gas' cryogenic battery,21/10/2019,The Guardian
164,Not investing in electric car battery production could cost UK 105,15/03/2020,The Guardian
165,Gas ‘completely dominated’ discussion about Covid-19 recovery,12/06/2020,The Guardian
166,Electric vehicle sales triple in Australia as sales of combustion engine cars fall 8%,06/02/2020,The Guardian
167,Only 2% of lithium-ion batteries in Australia are recycled,17/07/2018,The Guardian
168,Morrison a ‘predatory’ centrist on climate policy with no plans for meaningful emissions reduction,29/02/2020,The Guardian
169,'Most renewable energy companies' linked with claims of abuses in mines,05/09/2019,The Guardian
170,World's first fully electric commercial aircraft takes flight in Canada,11/12/2019,The Guardian
171,Car industry could see price war on hybrid vehicles in 2020,02/02/2020,The Guardian
172,'Horrible hybrids': the plastic products that give recyclers nightmares,20/04/2020,The Guardian
173,Nissan e-NV200 van: ‘The UK’s first zero-emission ice-cream van’,07/07/2019,The Guardian
174,Which electric bike should I get? And are they safe?,01/12/2018,The Guardian
175,UK car industry future hinges 'not on Brexit,07/07/2019,The Guardian
176,Ion age: why the future will be battery powered,14/01/2019,The Guardian
177,I saw the unbearable grief inflicted on families by cobalt mining. I pray for change,16/12/2019,The Guardian
178,South Australia's Tesla battery on track to make back a third of cost in a year,27/09/2018,The Guardian
179,The Guardian view on car culture: change is coming | Editorial,26/12/2019,The Guardian
180,Thursday briefing: Higher BAME toll of coronavirus,23/04/2020,The Guardian
181,Pinnacle Lithium bike preview: ‘At night the frame dazzles and sparkles’ | Martin Love,22/10/2017,The Guardian
182,Scottish Power to build vast battery to improve wind energy supply,10/06/2019,The Guardian
183,'Reopening the mine would get my vote': the view from Camborne and Redruth,05/12/2019,The Guardian
184,Goldman Sachs profits surge; EU car sales in record fall – as it happened,19/01/2021,The Guardian
185,The science stories that shaped 2019,22/12/2019,The Guardian
186,Are flying taxis ready for lift-off?,07/03/2020,The Guardian
187,Cars are reaching the end of the road | Letters,10/03/2019,The Guardian
188,Planned obsolescence: the outrage of our electronic waste mountain,15/04/2020,The Guardian
189,Nuclear power doesn't stack up without a carbon price,03/06/2019,The Guardian
190,Pioneering 'liquid air' project can help store excess electricity,05/06/2018,The Guardian
191,Tesla to build world's biggest lithium ion battery in South Australia,07/07/2017,The Guardian
192,Carmageddon: it’s killing urban life. We must reclaim our cities before it’s too late | George Monbiot,20/06/2019,The Guardian
193,A lightbulb moment for nuclear fusion?,27/10/2019,The Guardian
194,Electric bike share launches in Sydney despite failure of other schemes,11/11/2018,The Guardian
195,'Just a matter of when': the $20bn plan to power Singapore with Australian solar,14/07/2019,The Guardian
196,Nobel prize in physics awarded for work on cosmology – as it happened,08/10/2019,The Guardian
197,Hydrogen is the energy future | Letters,18/05/2018,The Guardian
198,Čezeta e-scooter: ‘The rebirth of the chicest communist-era scooter of all time’ | Martin Love,18/11/2018,The Guardian
199,Cars are killing us. Within 10 years,07/03/2019,The Guardian
200,Energy storage leap could slash electric car charging times,26/02/2018,The Guardian
201,How Tesla's big battery is bringing Australia’s gas cartel to heel,06/02/2018,The Guardian
202,Electric cars: separating the facts from the propaganda,09/04/2019,The Guardian
203,Mining firm hopes to extract lithium from Cornwall's hot springs,19/01/2017,The Guardian
204,We’ve been warned about drones but can we prevent another Gatwick?,23/12/2018,The Guardian
205,Labor says Australia can remain energy 'superpower' – but only if climate wars end,03/10/2018,The Guardian
206,Electric passenger jet revolution looms as E-Fan X project takes off,28/12/2017,The Guardian
207,California’s big battery experiment: a turning point for energy storage?,15/09/2017,The Guardian
208,Batteries included in energy storage ideas | Letters,15/05/2018,The Guardian
209,The rise of electric cars could leave us with a big battery waste problem,10/08/2017,The Guardian
210,Use excess wind and solar power to produce hydrogen – report,08/05/2018,The Guardian
211,Elon Musk’s dream ideas,18/02/2018,The Guardian
212,While economic growth continues we’ll never kick our fossil fuels habit | George Monbiot,26/09/2018,The Guardian
213,Super Soco E-Motorbike preview: ‘Commuting isn’t supposed to be this much fun’ | Martin Love,17/12/2017,The Guardian
214,Campaign urges people to recycle dead batteries,03/10/2017,The Guardian
215,Electric cars emit 50% less greenhouse gas than diesel,25/10/2017,The Guardian
216,Elon Musk's big battery brings reality crashing into a post-truth world | Tim Hollo,07/07/2017,The Guardian
217,Carmakers’ electric dreams depend on supplies of rare minerals,29/07/2017,The Guardian
218,Electric cars may stall without a battery revolution,19/07/2017,The Guardian
219,Tesla shows us how to think big on renewables,11/07/2017,The Guardian
220,All in on renewable energy: Jay Weatherill to ramp up SA target to 75%,21/02/2018,The Guardian
221,Lithium should be more widely used for bipolar disorder,14/08/2016,The Guardian
222,Life after coal: the South Australian city leading the way,19/07/2018,The Guardian
223,South Australia on track to meet 75% renewables target Liberals promised to scrap,25/07/2018,The Guardian
224,Big new renewable projects planned across Australia as Tesla effect hits,11/01/2018,The Guardian
225,Sanjeev Gupta: Coal power is no longer cheaper – and we'll prove it,22/07/2018,The Guardian
226,Satellite Eye on Earth: November and December 2017 - in pictures,23/01/2018,The Guardian
227,Apple apologises for slowing down older iPhones with ageing batteries,29/12/2017,The Guardian
228,Nickel mining: the hidden environmental cost of electric cars,24/08/2017,The Guardian
229,Bill Shorten calls for $1.5bn illegal robodebt payments to be refunded – as it happened,11/02/2020,The Guardian
230,Time to face up to the electric car revolution | Letters,07/08/2017,The Guardian
231,Renewable energy: the growth industry on the hunt for graduates,17/10/2017,The Guardian
232,Electric cars: everything you need to know,26/07/2017,The Guardian
233,iPhone 8 Plus: Apple looking into reports of batteries bursting out of phones,05/10/2017,The Guardian
234,Hurricanes wreak the havoc of climate change – but is a green energy solution in sight? | Jonathan Watts,12/09/2017,The Guardian
235,China on track to lead in renewables as US retreats,10/01/2018,The Guardian
236,Electric car boom fuels interest in Bolivia’s fragile salt flats,17/01/2017,The Guardian
237,'All humanity has left the area': paying for Tesla's Gigafactory,03/07/2018,The Guardian
238,Future sailors: what will ships look like in 30 years?,03/05/2018,The Guardian
239,US electronics ban for Middle East flights endangers passengers for profit,21/03/2017,The Guardian
240,Unlikely heroes: how lithium mining could change the Pilbara for the better,09/05/2016,The Guardian
241,Australia needs Tesla battery to prevent summer blackouts,11/07/2017,The Guardian
242,Dark crystals: the brutal reality behind a booming wellness craze,17/09/2019,The Guardian
243,Tuesday briefing: North's fury over rail fiasco,05/06/2018,The Guardian
244,Whyalla steelworks to be powered by $700m solar,31/10/2017,The Guardian
245,Commentators who don't understand the grid should butt out of the battery debate | Ketan Joshi,12/07/2017,The Guardian
246,China cementing global dominance of renewable energy and technology,06/01/2017,The Guardian
247,The seven megatrends that could beat global warming: 'There is reason for hope',08/11/2017,The Guardian
248,The troubling fire record of UK recycling plants,06/07/2017,The Guardian
249,Apple reduces speed of iPhones as batteries wear out,19/12/2017,The Guardian
250,Arena to provide $12m for new battery at Dalrymple electricity substation,22/08/2017,The Guardian
251,First Tesla Model 3 rolls off production line ... into the hands of Elon Musk,10/07/2017,The Guardian
252,Tesla seeking to test driver-free electric trucks on public roads,10/08/2017,The Guardian
253,Renewables could reliably contribute 50% to power grid,19/11/2017,The Guardian
254,The eco guide to zero wasters,27/08/2017,The Guardian
255,Charged issue: how phone batteries work – and why some explode,10/10/2016,The Guardian
256,Port Augusta solar thermal plant to power South Australian government,14/08/2017,The Guardian
257,Tesla moves beyond electric cars with new California battery farm,31/01/2017,The Guardian
258,Keep button batteries away from children,22/09/2016,The Guardian
259,One man’s mission to conquer space,11/02/2018,The Guardian
260,Samsung Galaxy Note 7: airlines across Asia,17/10/2016,The Guardian
261,Green cabs: is London ready for electric taxis?,28/11/2017,The Guardian
262,iPhone 7 being investigated after surfer claims it set his car on fire,21/10/2016,The Guardian
263,Tesla Model X review: ‘The volume goes up to 11’ | Martin love,01/10/2017,The Guardian
264,Samsung blames two separate battery faults for Galaxy Note 7 fires,23/01/2017,The Guardian
265,It's exciting that Australia is getting a space agency. But what will it do? | Andrew P Street,26/09/2017,The Guardian
266,Turkey's Covid death toll hits record for ninth day – as it happened,01/12/2020,The Guardian
267,Airlines fit planes with fire-containment bags after exploding phone risk,14/10/2016,The Guardian
268,The eco guide to green lawns,14/05/2017,The Guardian
269,Extreme biohacking: the tech guru who spent $250,21/09/2018,The Guardian
270,Talks due on US flight laptop ban amid EU travel chaos concerns,15/05/2017,The Guardian
271,Apple looking into video of exploding iPhone 7 Plus,24/02/2017,The Guardian
272,Friday briefing: Unwelcome guest? Trump state visit in peril,01/12/2017,The Guardian
273,Samsung factory fire caused by faulty batteries,08/02/2017,The Guardian
274,Dyson: industry experts cast doubt on electric car project,29/09/2017,The Guardian
275,Google enters race for nuclear fusion technology,25/07/2017,The Guardian
276,Nissan launches British-made home battery to rival Tesla's Powerwall,04/05/2017,The Guardian
277,The Menindee Lakes project: who loses and who really wins?,10/04/2018,The Guardian
278,Retro-electric: making petrol-guzzling cars eco-friendly,23/10/2016,The Guardian
279,Eco startups in Trump's America: 'Fake news could hit investment',28/06/2017,The Guardian
280,Energy Australia boss says she fears bill shock for customers after heatwave,14/02/2017,The Guardian
281,Calls for lithium battery review after Boeing Dreamliner fire at Heathrow,19/08/2015,The Guardian
282,Charging ahead: Welsh battery scheme may aid growth of green energy,21/05/2017,The Guardian
283,Amazon UK found guilty of trying to airmail dangerous goods,23/09/2016,The Guardian
284,Switch to electric vehicles will not be enough to give us clean air | Letters,27/07/2017,The Guardian
285,Samsung software update will disable Galaxy Note 7 phones completely,09/12/2016,The Guardian
286,Sony comes back from the brink,04/11/2017,The Guardian
