,headline,date,snippet,source
991,Chile gov't to respect FNE regulator ruling on Tianqi - minister,17/05/2018,"Tianqi's right to purchase a stake in Chilean lithiumproducer SQM, Economy.Tianqi Lithium Corp said earlier on Thursday itwould buy a 24 percent",reuters
992,RPT-UPDATE 1-China's Tianqi Lithium to buy stake in Chile's SQM for $4.07 billion,17/05/2018,lithium producer SociedadQuimica Y Minera (SQM) to China's Tianqi Lithium per share in cash to Nutrien.The Chinese lithium producer's interest,reuters
993,CANADA STOCKS-Futures little changed amid a rise in oil prices,17/05/2018,in Chileanlithium producer Sociedad Quimica Y Minera (SQM) toTianqi Lithium Corp for $4.07 billion.Pipeline operator Enbridge Inc said,reuters
994,RPT-China's Tianqi to buy stake worth $4.07 billion in Chile's SQM,17/05/2018,it would sell 62.5 million Class Ashares in Chilean lithium producer Sociedad Quimica Y Minera(SQM) to Tianqi Lithium Corp for $4.07billion,reuters
995,China's Tianqi to buy stake worth $4.07 billion in Chile's SQM,17/05/2018,on Thursday it would sell 62.5 million Class Ashares in Chilean lithium producer Sociedad Quimica Y Minera(SQM) to Tianqi Lithium Corp,reuters
996,BRIEF-Tianqi Lithium Agrees To Purchase Nutrien's Sqm A Share Investment,17/05/2018,"May 17 (Reuters) - Nutrien Ltd:* TIANQI LITHIUM AGREES TO PURCHASE OF APPROXIMATELYUS$4.07 BILLION.* NUTRIEN - CO, TIANQI LITHIUM SIGNED",reuters
997,"METALS-Copper cuts gains on firmer dollar, worries over Chinese demand",17/05/2018,warehousing through its London Metal Exchangeoperations. LITHIUM: Australia's Kidman Resources said it wouldsupply lithium for Tesla Inc's,reuters
998,Australia's Kidman Resources to supply lithium for Tesla cars,16/05/2018,on Thursday it will supply lithium for Tesla Inc's electric car batteries a fortnight after Kidman chose a site to develop a lithium processing,reuters
999,"Australia shares fall as Westpac, Treasury Wines weigh; NZ climbs",16/05/2018,tosucceed.Lithium miner Kidman Resources rose as much as 8.3percent after it said it entered an agreement to supply lithiumhydroxide to electric,reuters
1000,Australia's Kidman Resources to supply lithium hydroxide to Tesla Inc,16/05/2018,May 17 (Reuters) - Australian lithium miner Kidman Resourcessaid on Thursday it has entered into a bindingagreement to supply lithium,reuters
1001,BRIEF-Kidman Resources Enters Binding Lithium Hydroxide Offtake Agreement With Tesla,16/05/2018,"AGREEMENT WITH TESLA, INC. TOSUPPLYLITHIUM HYDROXIDE* INITIAL TERM 3",reuters
1002,Swiss prosecutors investigate fatal Tesla crash,16/05/2018,"vehicles in recent days.""The violent impact of lithium-ion batteries",reuters
1003,Sweden's Atlas Copco sees strong vacuum growth in 2018 as boom continues,16/05/2018,"business this year helped by ""enormous growth"" in demand for lithium strong growth from lithium-ion battery makers, who also require clean",reuters
1004,Exclusive: China's Tianqi nears $4.3 billion deal to buy stake in Chile's SQM - sources,15/05/2018,"Tianqi Lithium <002466.SZ> is nearing a deal to buy a 24 percent of the world's biggest lithium producers, for about $4.3 billion, two",reuters
1005,METALS-Copper struggles as dollar hovers near five-month peak,15/05/2018,"LITHIUM: China's Tianqi Lithium is nearing adeal to buy a 24 biggest lithium producers,for about $4.3 billion. MINING: Rio Tinto",reuters
1006,RPT-CORRECTED-Private firm takes on Codelco for control of Chile lithium deposit,15/05/2018,"(Corrects last name of Lithium Power International CEO toHolland a lithiumdeposit where both have claims, according to a lawsuit filed",reuters
1007,Private firm takes on Codelco for control of Chile lithium deposit,15/05/2018,(This version of the May 9 story corrects last name of Lithium Power Codelco from exploiting a lithium deposit where both have claims,reuters
1008,CORRECTED-Private firm takes on Codelco for control of Chile lithium deposit,15/05/2018,"(Corrects last name of Lithium Power International CEO toHolland a lithiumdeposit where both have claims, according to a lawsuit filed",reuters
1009,BRIEF-Lockheed Martin Selected To Supply Gridstar Lithium Energy Storage System To ComEd,15/05/2018,May 15 (Reuters) - Exelon Corp:* DEAL TO SUPPLY GRIDSTAR LITHIUM,reuters
1010,Anglo American to spin off unit to encourage platinum demand,15/05/2018,for the shiftaway from combustion engines by betting on lithium,reuters
1011,BRIEF-Standard Lithium Enters Into Option To Acquire Additional Land Package In Bristol Dry Lake,15/05/2018,May 15 (Reuters) - Standard Lithium Ltd:* STANDARD LITHIUM ENTERS* STANDARD LITHIUM - WILL INITIALLY BUY RIGHT TO CONDUCTLITHIUMBRINE,reuters
1012,Argosy seeks project financing for Argentina lithium site through pilot sales -exec,15/05/2018,* Company to start producing lithium carbonate in June - MD* Cargoes to use the production from the pilotplant at its lithium carbonate mine,reuters
1013,Japan's Marubeni signs MOU with Sweden's Northvolt on battery biz,15/05/2018,) with Swedish battery manufacturer NorthvoltAB to collaborate in a lithium-ion,reuters
1014,Recovery in trading volumes a boon for LME ahead of its Asia metals conference,14/05/2018,"that may include new energymaterials such as cobalt and lithium, used",reuters
1015,BRIEF-Lithium Americas Q1 Loss Per Share $0.05,14/05/2018,May 14 (Reuters) - Lithium Americas Corp:* LITHIUM AMERICAS REPORTS,reuters
1016,Tesla crash may have triggered battery fire: Swiss firefighters,14/05/2018,"to affect Tesla Inc vehicles in recent days.""The violent impact of Lithium fire brigade said on its Facebook page.Lithium-ion batteries can",reuters
1017,Tesla crash may have triggered battery fire -Swiss firefighters,14/05/2018,"of Lithium-ion batteries could probablyhave caused a phenomenon called,"" Ticino fire brigadesaid on its Facebook page.Lithium-ion batteries",reuters
1018,Canada's Strongbow pursues London listing to hunt for Cornish tin,14/05/2018,"also yield lithiumLONDON, May 14 (Reuters) - Strongbow Exploration Crofty could also be a source of lithium for electricvehicles.A British",reuters
1019,"In an interplanetary first, NASA to fly a helicopter on Mars",11/05/2018,solar cells to charge its lithium-ion batteries and a heating mechanism,reuters
1020,BRIEF-Albemarle new brine extraction technology on track - CEO,10/05/2018,"YEAR TIMELINE,SOLID-STATE BATTERIES REQUIRE MORE LITHIUM - PRESIDENT",reuters
1021,BRIEF-Albemarle lithium customers push for longer contracts - CEO,10/05/2018,"GLOBAL LITHIUM DEMAND ATOVER800,000 METRIC TONS IN 2025 - CEO LUKE KISSAM* ALBEMARLE LITHIUM EXPANSION PLAN NOT ABOUT MARKET SHAREGAIN",reuters
1022,BRIEF-Azincourt Energy Acquires Lithman West Extension Lithium Project,10/05/2018,EXTENSION LITHIUMPROJECTSource text for Eikon:Further company coverage:,reuters
1023,BRIEF-Nemaska Lithium Announces Pricing And Closing Of Books On 350 Mln Bond Offering,10/05/2018,May 10 (Reuters) - Nemaska Lithium Inc:* NEMASKA LITHIUM ANNOUNCES LITHIUM INC - SETTLEMENT DATE OF BOND OFFERING ISEXPECTED TO BE ON OR ABOUT,reuters
1024,BRIEF-Albemarle Reports Q1 EPS $1.18,09/05/2018,GROWTH IN FIRST QUARTERONSTRONG LITHIUM RESULTS* Q1 ADJUSTED - $3.4 BILLION* LITHIUM REPORTED NET SALES OF $298.0 MILLION IN Q1,reuters
1025,RPT-China suspects others lobbied to block it from Chilean lithium -official,09/05/2018,"in toplithium producer SQM, its trade representative told Reuters firms, saying it would distortthe global lithium market and give",reuters
1026,China suspects others lobbied to block it from Chilean lithium: official,08/05/2018,"in top lithium producer SQM, its trade representative told Reuters firms, saying it would distort the global lithium market and give",reuters
1027,China suspects others lobbied to block it from Chilean lithium -official,08/05/2018,"a stake in toplithium producer SQM, its trade representative told to Chinese firms, saying it would distortthe global lithium market",reuters
1028,Glencore's Congo woes throw spotlight on country's cobalt dominance,08/05/2018,component in the rechargeable lithium-ion batteries used to power mobile,reuters
