,headline,date,snippet,source
51,"Lithium miner SQM shares up 2.7 pct, Chile court clears way for Tianqi stake purchase",26/10/2018,"to block Chinese miner Tianqi Lithium Corp's$4.1 billion purchaseSANTIAGO, Oct 26 (Reuters) - Shares in lithium miner SQMjumped 2.7",reuters
52,"METALS-London copper retreats, heads for 2nd straight weekly drop",25/10/2018,chief executive saidon Thursday. * LITHIUM: Chile's Constitutional Court on Thursday rejecteda lawsuit to block Chinese miner Tianqi,reuters
53,Chilean court rejects lawsuit to block SQM stake sale to Tianqi,25/10/2018,miner Tianqi's purchase of a stake in Chilean lithium miner SQM on the $4.1 billion sale to Tianqi Lithium Corp <002466.SZ> of a 24,reuters
54,Chile's Constitutional Court rejects suit to block Tianqi purchase of SQM stake,25/10/2018,Chinese miner Tianqi'spurchase of a stake in Chilean lithium miner SQM on the $4.1 billionsale to Tianqi Lithium Corp of a 24 percent holding,reuters
55,METALS-London copper slips for 3rd day after Wall St rout,24/10/2018,toresolve a case before it seeking to block Chinese firm TianqiLithium Corp from purchasing a nearly one-quarterstake in the world's No. 2,reuters
56,Chile mining minister says court won't delay sale of SQM stake,24/10/2018,firm Tianqi Lithium Corp from purchasing a nearlyone-quarter stake in the world's No. 2 lithium,reuters
57,Chile's Constitutional Court delays decision on SQM-Tianqi sale,22/10/2018,lithium miner SQM to Chinese firm Tianqi. The court's president said failed to follow due process in approving a settlement between Tianqi,reuters
58,CANADA STOCKS-TSX futures up on higher oil prices,22/10/2018,stakein Chilean lithium miner SQM to China's Tianqi has been stalled,reuters
59,METALS-Copper climbs for second day after China liquidity pledge,21/10/2018,"its stakein Chilean lithium miner SQM to China's Tianqi Lithium has China's market. * LITHIUM: Canada's Nutrien, whose attempt to sell",reuters
60,Nutrien vows to 'protect interests' over threat to SQM sale: paper,21/10/2018,"to sell its stake in Chilean lithium miner SQM to China's Tianqi has regulator, with some conditions to curb Tianqi's <002466.SZ> influence",reuters
61,Nutrien vows to 'protect interests' over threat to SQM sale -paper,21/10/2018,"attemptto sell its stake in Chilean lithium miner SQM to China's Tianqihas been stalled by a row about competitive risks, vowed",reuters
62,"RPT-EXPLAINER-What's next as Tianqi, SQM face off in Chile court",13/10/2018,"Tianqi Lithium Corp, afterits controlling shareholder filed a lawsuit ofa coveted 24 percent stake in top lithium producer SQMto China's",reuters
63,"Explainer: What's next as Tianqi, SQM face off in Chile court",12/10/2018," to China's Tianqi Lithium Corp, after its allowing the sale of a coveted 24 percent stake in top lithium producer SQM",reuters
64,"EXPLAINER-What's next as Tianqi, SQM face off in Chile court",12/10/2018,"producer SQMto China's Tianqi Lithium Corp, afterits controlling information.""Tianqi is also in a joint venture with No. 1 lithiumproducer",reuters
65,Chilean court freezes sale of stake in lithium giant SQM to Tianqi,11/10/2018,"SQM_pb.SN> to China's Tianqi Lithium Corp, saying it will consider of the global lithium market and unprecedented pricing power.Tianqi",reuters
66,Chilean court suspends sale process to Tianqi of lithium miner SQM,11/10/2018,stake in lithium producer SQM toChina's Tianqi Lithium Corp process whenit approved a settlement between Tianqi and Chilean,reuters
67,"METALS-Base metal prices drop, track equities rout on macro fears",11/10/2018,by rival Tianqi Lithium. * For the top stories in metals and other news with the matter said. * GANFENG: China's Ganfeng Lithium fell 20,reuters
68,"METALS-Base metal prices fall, tracking equities rout on macro fears",10/10/2018,to China's Tianqi Lithium Corp. * SHFE: The Shanghai Futures with the matter said. * LITHIUM: Chile has called for lithium,reuters
69,China's Ganfeng Lithium set to open down 7 percent,10/10/2018,"sign to fellow Shenzhen-listedcounterpart Tianqi Lithium whichHONG KONG, Oct 11 (Reuters) - China's top lithium producerGanfeng",reuters
70,SQM controlling shareholder moves to block stake sale to China's Tianqi,10/10/2018,of the miner to China'sTianqi Lithium Corp.The lawsuit alleges lithium producer SQM on Wednesdayfiled suit with Chile's,reuters
71,"METALS-London aluminium steady, eyes biggest weekly gain since April",05/10/2018,to potential shortages.* LITHIUM: Chile's antitrust court approved on Thursday adeal struck between Chilean regulators and Tianqi,reuters
72,"China's Tianqi can buy stake in lithium firm SQM, rules Chile court",04/10/2018,"a deal struck between Chilean regulators and Tianqi, allowing the Chinese miner to purchase a nearly one-quarter stake in lithium producer SQM",reuters
73,China's Tianqi can purchase stake in lithium producer SQM -Chile antitrust court,04/10/2018,on Thursday a deal struck between Chilean regulators and Tianqiallowing the Chinese miner to purchase a one-quarterstake in lithium producer SQM,reuters
74,Albemarle eyes future as pure-play lithium market leader,27/09/2018,"and China's Tianqi Lithium Corp.""I don't worry at all about the otherSQM, Tianqi and Ganfeng Lithium Co Ltd.It is that scale that Kissam",reuters
75,"METALS-London copper slips, but headed for weekly gain as trade talks eyed",13/09/2018,between the United States andChina.* LITHIUM: Chilean lithium miner SQM-trustregulator and the Chinese miner Tianqi which hopesto buy almost,reuters
