idx,headline,date,source
151,Victoria plans 300MW Tesla battery to help stabilise grid as renewables increase,2020-11-05T02:38:24Z,The Guardian
152,Electric cars could be charged in 10 minutes in future,2019-10-30T15:00:19Z,The Guardian
153,Eco-Visionaries: Confronting a Planet in a State of Emergency review – speculative and oblique,2019-11-30T14:00:37Z,The Guardian
154,Cutting battery industry's reliance on cobalt will be an uphill task,2020-01-05T12:54:24Z,The Guardian
155,Robots and magnetic soap: scientists rethink oil spill clean-ups,2020-09-29T06:00:10Z,The Guardian
156,World’s largest nuclear fusion project begins assembly in France,2020-07-28T09:00:19Z,The Guardian
157,Leading the charge! Can I make it from Land’s End to John o’Groats in an electric car?,2021-07-28T05:00:01Z,The Guardian
158,'E-highways' could slash UK road freight emissions,2020-07-27T05:00:44Z,The Guardian
159,Labor asks for inquiry into how Shine Energy secured $4m grant for Collinsville coal plant study,2020-07-26T17:30:30Z,The Guardian
160,Electric cars won't solve our pollution problems – Britain needs a total transport rethink | George Monbiot,2020-09-23T06:00:19Z,The Guardian
161,How will the pandemic affect the sprint away from fossil fuels? | Daniel Yergin,2020-10-08T08:30:32Z,The Guardian
162,How the race for cobalt risks turning it from miracle metal to deadly chemical,2019-12-18T08:00:13Z,The Guardian
163,UK firm announces plans for first 'liquid to gas' cryogenic battery,2019-10-21T16:42:46Z,The Guardian
164,Not investing in electric car battery production could cost UK 105,2020-03-15T14:37:09Z,The Guardian
165,Gas ‘completely dominated’ discussion about Covid-19 recovery,2020-06-12T20:00:02Z,The Guardian
166,Electric vehicle sales triple in Australia as sales of combustion engine cars fall 8%,2020-02-06T02:20:41Z,The Guardian
167,Only 2% of lithium-ion batteries in Australia are recycled,2018-07-17T07:18:24Z,The Guardian
168,Morrison a ‘predatory’ centrist on climate policy with no plans for meaningful emissions reduction,2020-02-29T19:00:02Z,The Guardian
169,'Most renewable energy companies' linked with claims of abuses in mines,2019-09-05T08:00:07Z,The Guardian
170,World's first fully electric commercial aircraft takes flight in Canada,2019-12-11T01:41:18Z,The Guardian
171,Car industry could see price war on hybrid vehicles in 2020,2020-02-02T12:09:44Z,The Guardian
172,'Horrible hybrids': the plastic products that give recyclers nightmares,2020-04-20T15:22:03Z,The Guardian
173,Nissan e-NV200 van: ‘The UK’s first zero-emission ice-cream van’,2019-07-07T05:00:53Z,The Guardian
174,Which electric bike should I get? And are they safe?,2018-12-01T07:00:16Z,The Guardian
175,UK car industry future hinges 'not on Brexit,2019-07-07T15:00:23Z,The Guardian
176,Ion age: why the future will be battery powered,2019-01-14T07:00:31Z,The Guardian
177,I saw the unbearable grief inflicted on families by cobalt mining. I pray for change,2019-12-16T10:45:17Z,The Guardian
178,South Australia's Tesla battery on track to make back a third of cost in a year,2018-09-27T07:27:59Z,The Guardian
179,The Guardian view on car culture: change is coming | Editorial,2019-12-26T16:00:15Z,The Guardian
180,Thursday briefing: Higher BAME toll of coronavirus,2020-04-23T05:32:06Z,The Guardian
181,Pinnacle Lithium bike preview: ‘At night the frame dazzles and sparkles’ | Martin Love,2017-10-22T05:00:43Z,The Guardian
182,Scottish Power to build vast battery to improve wind energy supply,2019-06-10T11:54:17Z,The Guardian
183,'Reopening the mine would get my vote': the view from Camborne and Redruth,2019-12-05T05:00:03Z,The Guardian
184,Goldman Sachs profits surge; EU car sales in record fall – as it happened,2021-01-19T16:57:12Z,The Guardian
185,The science stories that shaped 2019,2019-12-22T15:00:18Z,The Guardian
186,Are flying taxis ready for lift-off?,2020-03-07T16:00:10Z,The Guardian
187,Cars are reaching the end of the road | Letters,2019-03-10T18:09:16Z,The Guardian
188,Planned obsolescence: the outrage of our electronic waste mountain,2020-04-15T05:00:36Z,The Guardian
189,Nuclear power doesn't stack up without a carbon price,2019-06-03T18:00:10Z,The Guardian
