Date,ENS,CBAT,TIA,ALB,LAC,SQM,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
18/03/2015,0.340003967,0.029999971,0.050060104,0.259998322,0.050000191,-3.359298706,0,0,0,0,-0.337846154,0,-0.6486,0,0,0,0,-0.015384615,0,0,13.8,28.6,25.8,0,15.6,51.2,31,4,23.8,81.8,16.1,5,21.8,85.2,13.1,5,15.6,51.2,31,4,20.7,75.5,18.4,2
19/03/2015,-0.580001831,0.050000191,0.045668847,-1.080001831,-0.050000191,-0.759494781,0,0,0,-0.3825,-0.131675,0,0,0,0,0,-0.35,-0.025,0,0,12.9,23.9,26.6,0,15.3,57.9,33.5,5,21.4,83.8,12.2,2,21.1,84.5,14.6,2,15.3,57.9,33.5,5,21.4,72.4,20.5,2
20/03/2015,0.529998779,0.109999895,-0.024883743,0.580001831,0.050000191,0.963972092,0,0,0,0,0.04565,0,0,0,0,0,0,0.3625,0,0,12.3,13.5,22.3,0,15.3,55.8,36.4,2,23.8,73.2,15,5,22,78.2,14.6,5,15.3,55.8,36.4,2,20.4,78.1,25.9,2
23/03/2015,0.120002747,0.25999999,-0.006733053,-0.340000153,0.049999952,0.428434372,0,0,0,-0.0726,-0.5106,0,0,0,0,0,0,0,0,0,12.9,26.1,29.5,0,12.9,58,28.4,4,12.7,83.7,21.6,5,13.4,90.4,24.5,4,12.9,58,28.4,4,22.4,70.4,18.4,2
24/03/2015,-0.459999084,-0.019999981,0.091044933,0.090000153,-0.049999952,0.467380524,0,0,0,0,0.05905,0,0,0,0,0,0,0,0,0,12.1,30.7,34.8,0,10.6,73.7,26.3,5,12.1,86.1,16.6,4,12.9,92.3,24.8,4,10.6,73.7,26.3,5,23.4,70.5,18.4,5
25/03/2015,-2.630001068,0,0.029860236,-0.819999695,-0.150000095,-0.535541534,0.3818,0,0,-0.451,0.033184615,0,0,0,0,0,-0.05,-0.017482517,0,0,12.2,35.7,22.2,0,10.5,80.4,39.6,5,12.3,85.2,22.3,5,13.3,91.4,29.9,5,10.5,80.4,39.6,5,20.9,85.1,20.5,5
26/03/2015,0.539997101,0.390000105,0.011124593,-0.180000305,0,-0.545276642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,28.5,24.9,0,9.9,72.2,34.9,5,11.7,80.6,20.5,5,11.7,90.9,27.7,5,9.9,72.2,34.9,5,20.7,81.7,20.5,5
27/03/2015,0.150001526,-0.03000021,-0.025469121,0.549999237,-0.099999905,-0.701070786,0,0,0,0,-0.116316667,0,0,0,0,0,0,0.022727273,0,0,15.6,24.9,21.1,0,9.1,59.9,32.8,3,10.6,78.6,22.7,5,11.6,86.6,26.6,5,9.1,59.9,32.8,3,20.2,79.1,24.1,2
30/03/2015,1.419998169,0.160000086,-0.031031559,0.880001068,-0.050000191,0.282375336,0,0,0,-0.7579,0,0,0,0,0,0,0,0,0,0,15.1,16.6,19.7,0,10.4,28.2,27,0,14.3,58.7,17.3,3,16,65.5,20.2,5,10.4,28.2,27,0,20.3,70.1,22.3,2
31/03/2015,-1.180000305,0,0.010538932,0.409999847,0.150000095,0.009737015,0,0,0.2023,0,-0.2202,0,-0.2202,0,0,0.5,0,-0.166666667,0,0,15.2,15.4,39.3,3,11,26.1,24.1,0,13.4,72.3,28.5,5,15.1,79.3,22.6,5,11,26.1,24.1,0,19.3,74,24.1,0
1/4/2015,0.36000061,-0.129999876,0.166281539,-0.270000458,-0.049999952,0.175268173,-0.0258,0,0,0,0.427933333,0,0,0.136363636,0,0,0,0,0,0,11.2,21.6,41.8,0,12.7,25.7,24.8,2,14.1,83,18,5,15.3,84.8,22.3,2,12.7,25.7,24.8,2,20,74.2,20.5,2
2/4/2015,0.020004272,0.199999809,0.158084545,0.319999695,0.200000048,0.379745483,0,0,0,0.0516,-0.21485,0,0.4215,0,0,0,0,-0.075,0,0,8.2,22.6,33,0,13.5,28.4,28.1,2,15.2,73.6,19.1,2,16.9,78.7,22,2,13.5,28.4,28.1,2,19.5,72.1,24.1,0
6/4/2015,0.439994812,0.140000105,0,2.11000061,0.099999905,0.068161011,0,0,0,0.6705,0,0,0,0,0,0,0,0,0,0,8.9,22.2,25.5,0,13.2,20,18,2,15.2,81.3,22,2,15.2,84.3,25.9,2,13.2,20,18,2,18.9,71.5,20.5,2
7/4/2015,-0.199996948,-0.180000067,0.033666257,0.25,0,0.107107162,0.5106,0,0,0,0,0,-0.16184,0.25,0,0,0,0,0,0.109090909,7.3,30.8,42.4,2,14.2,21.1,32,2,13.8,67.7,14,5,14.6,81.3,25.2,2,14.2,21.1,32,2,19.2,70.9,27.7,2
8/4/2015,0.440002441,0.200000048,-0.126174989,0.630001068,-0.099999905,0.194742203,0,0,0,0,-0.8442,0,0,0,0,0,0,0,0,0,6,32.4,36,0,12.5,20.8,29.5,0,16.5,63.4,18.4,2,17.1,68.5,21.6,2,12.5,20.8,29.5,0,18.4,70.5,24.1,2
9/4/2015,0.36000061,0.480000019,0.067917891,3.129997253,0,-0.048685074,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,29.1,24.6,0,13.6,19.8,31.7,2,19.6,85.7,13.2,5,19.1,81.2,14.4,2,13.6,19.8,31.7,2,18.7,68.9,25.9,2
10/4/2015,0.759994507,0.059999943,0.201411312,-0.259998322,0.049999952,-0.136320114,0.067433333,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,10.1,21,22.3,0,13.8,22,22,2,20.2,82.6,11.2,5,18.9,81.8,16.3,2,13.8,22,22,2,19.2,67.6,20.5,2
13/04/2015,0.470001221,0.380000114,-0.053573081,-0.369998932,0.049999952,0.827653885,0,0,0,0,0.7184,0,0,0,0,0,0,0.7,0,0,15.3,16,36.9,0,12.1,35.5,28.4,0,20.4,84.1,15,2,19.9,81.7,16.5,2,12.1,35.5,28.4,0,20.2,72.5,22.3,2
14/04/2015,0.239997864,-0.360000134,-0.103925944,0.590000153,0,-0.642648697,0,-0.5267,0,0,0,0,0,0,-0.2,0,0,0,0,-0.25,10.5,17.2,61,0,12.3,25.7,31.7,0,21.7,75.6,13.5,2,20.7,76.6,23.6,2,12.3,25.7,31.7,0,19.2,74.6,24.1,2
15/04/2015,1.120002747,-0.049999714,-0.155156946,0.340000153,0.049999952,0.973711014,0,0,0,0.2732,0,0,0,0,0,0,0.136363636,0,0,0,6.8,19.3,45.3,0,11.2,32,28.1,0,22,81.8,22.3,5,21.5,77.8,22.3,5,11.2,32,28.1,0,19.6,70.5,20.5,2
16/04/2015,-0.370002747,0.179999828,0.011709972,-0.569999695,-0.099999905,0.915287018,0,0,0,0,0.3818,0,0,0,0,0,0,0,0,0,9.4,19.1,35.4,0,10.2,30.2,29.2,2,21.1,87,9.6,5,20.4,84.9,16.2,5,10.2,30.2,29.2,2,19.1,71.3,24.8,2
17/04/2015,-0.369995117,-0.130000114,-0.009368034,0.309997559,0,-0.564752579,0.0258,0,0,0.4215,0,0,0,0,0,0,0.1875,0,0,0,13.3,19.7,27.6,0,10.3,25.4,24.8,2,20.6,76.3,28.8,5,19.2,78.9,25.5,2,10.3,25.4,24.8,2,18.4,75.1,22.3,2
20/04/2015,0.299995422,0.130000114,-0.054743979,0.13999939,0,-0.866601944,0,0,0,0,-0.10115,0,0.2732,0,0,0,0,0.25,0,0,16.4,14.2,20.7,0,10.2,31.4,24.5,2,19.5,75.2,19.7,2,17.6,78.5,22.7,2,10.2,31.4,24.5,2,19.2,67.2,27.7,2
21/04/2015,0.260002136,0.119999886,0.079334962,-0.439998627,0,0.077896118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,16.5,24.9,0,10.2,27.9,26.3,0,17.9,84.9,10.4,4,16.2,86.7,12.7,4,10.2,27.9,26.3,0,18.2,71.7,29.5,2
22/04/2015,0.190002441,-0.049999714,0.060306276,0.189998627,0,0.146057129,0,0,0,0,0,0,0.072942857,0,0,0,0,-0.056649832,0,0.067532468,14.1,28.7,23.6,2,11.1,19.9,22.3,3,16.6,91.3,13.5,4,15.8,88.2,16.2,4,11.1,19.9,22.3,3,18,71.2,24.1,2
